```csv
"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","Renga","Middle C++ Developer","Что означает `const char* ptr`?","C++ — указатели, const-correctness","Кандидат путался: сначала сказал, что это указатель на char, затем вспомнил про const. Говорил 'не меняется ссылка', 'не меняется содержимое', путал терминологию. В итоге с подсказкой пришёл к правильному выводу, но формулировки нечёткие.","const char* ptr — указатель на константный char. Сам указатель можно переназначить, но нельзя изменить данные, на которые он указывает. Пример: const char* ptr = ""Hello""; ptr = ""World""; // OK, *ptr = 'X'; // Ошибка. Правило чтения: const слева от * относится к данным, справа — к указателю.","Кандидат путает термины ('ссылка' вместо 'указатель'), неуверенно объясняет. Понимание есть, но требуется практика чтения сложных деклараций (cdecl.org, spiral rule). Повторить const-correctness.","Базовый (C++)","N/A","неизвестно","","","","Указатель. Это указатель на... Ну, типа чат на... const, это, соответственно, что она не подразумевает какое-то изменение. Тут тогда вопрос, что конкретно. Указатель или на что указываем?"
"N/A","Renga","Middle C++ Developer","Что означает `char* const ptr`? Можно ли заменить указатели на ссылки в таких выражениях?","C++ — указатели vs ссылки, const-correctness","Кандидат долго блуждал, путал термины ('ссылка отправляет адрес'), но с подсказкой пришёл к выводу, что ссылка не может быть переназначена, поэтому `char& const` избыточно. Формулировки нечёткие.","char* const ptr — константный указатель на char. Указатель нельзя переназначить, но данные можно изменять. Ссылка в C++ всегда привязывается к объекту при инициализации и не может быть переназначена. Поэтому `char& const` синтаксически некорректно (ссылка уже 'константна' по природе). const char& ref аналогичен const char* const ptr по семантике.","Кандидат путает понятия (указатель/ссылка), долго приходит к правильному ответу. Нужна практика: упражнения на сравнение указателей/ссылок, чтение качественных книг (Meyers, Effective C++).","Базовый (C++)","N/A","неизвестно","","","","Ссылка отправляет адрес. Указатель всегда на одно и то же указывает. Ссылка так не может. Поэтому вторую запись так нельзя, потому что ссылка и так сама по себе константная."
"N/A","Renga","Middle C++ Developer","Что такое `dynamic_cast`? Для чего используется?","C++ — приведение типов, полиморфизм, RTTI","Кандидат понимает общую идею ('безопасное приведение по иерархии'), но путает направление (сначала говорит 'вверх', затем исправляется), не чётко формулирует отличие от static_cast и роль RTTI. Упоминает проверку типа в runtime, но объяснение размытое.","dynamic_cast — оператор приведения типов для безопасного приведения указателей/ссылок вниз по полиморфной иерархии (downcast) с проверкой корректности во время выполнения (RTTI). Требуется наличие виртуальных функций. При неудаче возвращает nullptr (для указателей) или бросает std::bad_cast (для ссылок). Отличие от static_cast: static_cast — компиляция без проверки, быстрее, но небезопасно для downcast; dynamic_cast — runtime проверка, медленнее, но безопасно.","Кандидат путает направление приведения (upcast/downcast), не чётко объясняет отличие от static_cast и роль RTTI. Рекомендация: изучить RTTI, упражнения на полиморфизм и касты (Stroustrup, The C++ Programming Language, главы про иерархии и RTTI).","Средний (C++ — полиморфизм)","N/A","неизвестно","","","","Динамик каст это у нас история для преобразования, для смены типа данных, применяется. Нужен для безопасного приведения указателей либо ссылок между классами по иерархии. Проверяет правильность объекта во время выполнения."
"N/A","Renga","Middle C++ Developer","Какие ещё операторы приведения типов существуют (кроме static_cast и dynamic_cast)?","C++ — приведение типов","Кандидат не вспомнил const_cast и reinterpret_cast, сказал, что читал про них, но не использовал. Не смог назвать полный список.","В C++ есть четыре оператора приведения типов: 1) static_cast — общее приведение на этапе компиляции (численные типы, upcast, downcast без проверки). 2) dynamic_cast — безопасное приведение в полиморфной иерархии с проверкой в runtime. 3) const_cast — добавление/удаление квалификаторов const/volatile. 4) reinterpret_cast — низкоуровневое побитовое преобразование указателей/ссылок (опасно, зависит от платформы). C-style cast (Type)value — комбинация всех четырёх, не рекомендуется.","Кандидат не вспомнил const_cast и reinterpret_cast. Это базовые знания для middle-уровня. Рекомендация: повторить все четыре каста, их применение и ограничения (Meyers, Effective C++, Item 27).","Базовый (C++)","N/A","неизвестно","","","","Да вот, кроме этих, по большому счету, особо-то никаких не использовал. Что-то было, читал про это."
"N/A","Renga","Middle C++ Developer","Что нужно сделать с классом `Result`, чтобы можно было писать `if (Result r = getResult())`?","C++ — операторы приведения типов, user-defined conversions","Кандидат долго блуждал, сначала говорил про конструктор копирования, затем с подсказкой пришёл к оператору приведения к bool. Не упомянул explicit и не сразу понял, что нужно для if.","Для работы конструкции `if (Result r = getResult())` необходимо: 1) Конструктор копирования/перемещения (для инициализации r). 2) Оператор приведения к bool (для проверки в условии if). Пример: explicit operator bool() const { return isValid_; }. explicit важно, чтобы избежать неявных преобразований. Реализация operator bool() обычно проверяет валидность данных (аналог std::optional).","Кандидат долго блуждает, но в итоге приходит к правильному ответу (оператор приведения к bool). Не упомянул explicit и не сразу понял, что нужно именно для if. Рекомендация: изучить user-defined conversions, практика с explicit (Meyers, Effective C++, Item 15).","Средний (C++ — операторы приведения)","N/A","неизвестно","","","","Должен быть оператор копирования, оператор присваивания. IF ожидает булевое выражение. Нужен оператор приведения к булу. Должен возвращать булевое значение."
"N/A","Renga","Middle C++ Developer","Что означает ключевое слово `template`? Где ещё оно может использоваться (кроме создания шаблонов)?","C++ — шаблоны (templates)","Кандидат знает базовое применение (template для функций/классов), упомянул typename vs class как convention. Не вспомнил метапрограммирование и другие применения (variadic templates, SFINAE, template variables, alias).","template — ключевое слово для объявления шаблонов (функций, классов, переменных с C++14, alias с C++11). Основное применение: шаблонные функции, классы, переменные, alias. Дополнительное (метапрограммирование): специализация шаблонов, SFINAE, variadic templates, template template параметры. typename vs class: в контексте template взаимозаменяемы (convention: typename для типов); typename также для dependent names (typename T::value_type).","Кандидат знает базовое применение, но не вспомнил метапрограммирование и другие применения. Для middle-уровня это допустимо, но стоит подтянуть. Рекомендация: Vandevoorde, Josuttis, C++ Templates: The Complete Guide.","Базовый (C++)","N/A","неизвестно","","","","Это у нас слово для создания шаблонной функции, либо шаблонного класса. typeName, typeClass есть, но оно и то, и то работает. История больше про метапрограммирование."
"N/A","Renga","Middle C++ Developer","В каком порядке будут вызываться функции в выражении `bool b = f() && g() && h();`? Всегда ли будут вызваны все функции?","C++ — порядок вычисления выражений, short-circuit evaluation","Кандидат сказал, что порядок f, g, h, и с подсказкой понял short-circuit для &&. Но долго путался с || (сначала сказал 'все вызовутся', затем исправился). Формулировки нечёткие.","Для && (логическое И): вычисление слева направо (гарантировано стандартом), short-circuit evaluation — если f() вернёт false, g() и h() не будут вызваны. Для || (логическое ИЛИ): вычисление слева направо, short-circuit evaluation — если f() вернёт true, g() и h() не будут вызваны. Это не 'зависит от реализации' — стандарт C++ гарантирует порядок и short-circuit для && и ||.","Кандидат в итоге понял short-circuit для &&, но долго путался с || (сначала сказал 'все вызовутся', затем исправился). Формулировки нечёткие. Рекомендация: повторить семантику логических операторов, упражнения на порядок вычисления (cppreference.com, раздел Operator Precedence).","Средний (C++ — семантика языка)","N/A","неизвестно","","","","Сначала f будет вызван, потом g, потом h. Если что-то застопорится, то может такое быть, что g и h не вызовутся. Или h может не вызваться."
"N/A","Renga","Middle C++ Developer","В каком порядке вычисляются аргументы функции `f(g(), h())`?","C++ — порядок вычисления аргументов функции","Кандидат уверен, что порядок определён ('как мы пишем, в том порядке и вычисляется', 'g вычисляется первой, потому что в списке аргументов первая стоит'), что неверно. Порядок вычисления аргументов до C++17 не определён, с C++17 — всё ещё не определён (но без UB).","До C++17: порядок вычисления аргументов функции не определён (unspecified). Компилятор может вычислить g() первой, h() первой, или даже параллельно. С C++17: порядок всё ещё не определён, но гарантируется, что аргументы вычисляются до вызова функции и побочные эффекты одного аргумента завершаются до начала вычисления следующего (но порядок выбирает компилятор). Нельзя полагаться на порядок вычисления аргументов. Если важен порядок — вычисляйте аргументы в отдельных выражениях.","Кандидат уверен, что порядок определён, что неверно. Это распространённая ошибка. Рекомендация: изучить правила sequencing в C++ (cppreference.com, Order of evaluation), прочитать про изменения в C++17.","Средний (C++ — семантика языка)","N/A","неизвестно","","","","G вычисляется первой только потому, что она в списке аргументов первая стоит. Синтез такой у нас есть."
"N/A","Renga","Middle C++ Developer","Что означает запись `bool b = (f(), g(), h());` (оператор запятая)?","C++ — оператор запятая (comma operator)","Кандидат не узнал оператор запятая, попытался интерпретировать как массив или множественное присваивание ('массив f', 'переменная f равна функции g и через запятую функции h'). Не понял конструкцию.","Оператор запятая (,) — бинарный оператор, который: 1) Вычисляет левый операнд (и отбрасывает результат). 2) Вычисляет правый операнд. 3) Возвращает значение правого операнда. Пример: bool b = (f(), g(), h()); — вызывается f() (результат отбрасывается), g() (результат отбрасывается), h() (результат присваивается b). Порядок: строго слева направо (гарантировано стандартом). Применение: в циклах for, в макросах, в legacy-коде. Важно: скобки обязательны (без скобок приоритет оператора запятая очень низкий).","Кандидат не узнал оператор запятая, попытался интерпретировать как массив. Это редкая конструкция, но для middle-уровня стоит знать. Рекомендация: изучить операторы языка, особенно редкие (cppreference.com, Operators).","Средний (C++ — семантика языка)","N/A","неизвестно","","","","Массив f. В которой мы пытаемся инициализировать переменную f значением g, а потом значением h. Булевая переменная b равна переменной f, которая равна функции g и через запятую функции h."
"N/A","Renga","Middle C++ Developer","Напишите сигнатуры конструктора копирования и оператора копирующего присваивания для класса `Result`.","C++ — правило трёх/пяти, конструкторы, операторы присваивания","Кандидат не смог чётко написать сигнатуры, путался в синтаксисе (писал `class` внутри сигнатуры). Интервьюер подсказал, что класс уже объявлен. Кандидат сказал 'конструктор копирования, конструктор присвоения', но не написал правильные сигнатуры.","Конструктор копирования: Result(const Result& other); Оператор копирующего присваивания: Result& operator=(const Result& other); Пример с реализацией: Result(const Result& other) : data_(other.data_) {} и Result& operator=(const Result& other) { if (this != &other) { data_ = other.data_; } return *this; }. Правило пяти (C++11): если определяете один из деструктор/конструктор копирования/оператор копирующего присваивания/конструктор перемещения/оператор перемещающего присваивания, определите все пять (или явно удалите/дефолтите).","Кандидат не смог чётко написать сигнатуры, путался в синтаксисе. Это базовые знания. Рекомендация: повторить правило трёх/пяти, практика написания классов с ручным управлением ресурсами (Meyers, Effective C++, Items 10–12).","Базовый (C++)","N/A","неизвестно","","","","class Result... class... = class Result... Конструктор копирования, конструктор присвоения."
