```csv
"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Расскажите про себя, про свой профессиональный опыт","Опыт и проекты","Работал в московской компании Т-Прогресс (финтех, ~100 тыс. строк кода). Занимался backend на C++, алгоритмами, многопоточностью, контейнерами. Писал движок для тестирования коннектора на основе TCP (Boost.ASIO), работал с протоколами FIX и FAST. Реализовывал алгоритмы агрегации ликвидности, добавлял поддержку металлов, работал с SQL. Переписывал legacy-код на C++17. Использовал Agile/Scrum, профилировщик Perf, ОС Linux Debian. Речь сбивчивая, много слов-паразитов.","Чёткая структура: краткая информация о компании и роли, ключевые технологии (C++, многопоточность, сетевое программирование, Boost.ASIO, SQL), конкретные задачи (тестирование коннекторов, агрегация ликвидности, миграция на C++17), инструменты (Perf, Linux). Упомянуть результаты/метрики (например, ""сократили время выполнения на X%"", ""покрыли Y% кода тестами""). Избегать слов-паразитов, говорить увереннее.","Кандидат дал развёрнутый ответ с конкретикой, что хорошо. Однако речь местами сбивчивая, много слов-паразитов (""ну"", ""вот""). Не хватает количественных результатов. Для подготовки: отрепетировать самопрезентацию, добавить метрики и impact.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Ну, вообще, я работал на московскую компанию Т-Прогресс, это финтех... там за 100 тысяч строящих кода было. В основном я занимался алгосами и был бэкендером..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Сейчас находитесь в активном поиске работы? Почему расстались с предыдущим работодателем?","Опыт и проекты","Да, активно ищу. Вынужден был расстаться с компанией Т-Прогресс из-за переезда в Новосибирск. Компания не предоставила ни удалённого, ни гибридного формата работы, поэтому пришлось расстаться. Формулировка ""вынужден был попрощаться"" может вызвать вопросы.","Честно и нейтрально объяснить причину: ""Возникла необходимость переехать в Новосибирск по личным обстоятельствам. Обсудил с работодателем возможность удалённой работы или гибридного формата, но политика компании не позволяла такого варианта, поэтому пришлось расстаться по обоюдному согласию. Сейчас активно ищу новые возможности, где возможен удалённый формат.""","Ответ честный, но формулировка ""вынужден был попрощаться"" может быть интерпретирована как конфликт или увольнение по инициативе работодателя. Лучше сказать ""расстались по обоюдному согласию из-за несовместимости условий"". Избегать слов ""вынужден"".","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Да, ну, я сейчас активно ищу, вот, с компанией NT-Прогресса я вынужден был попрощаться... По личным причинам я должен был ехать в Новосибирск, компания ни удаленного, ни гибрида не поддерживает..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Рассматривая другие предложения, на что обращаете внимание, что важно при выборе работодателя?","Опыт и проекты","Важна интересность проекта (чтобы остался релевантный опыт), сильная команда (возможность учиться, получать фидбэк на код), желательно крупная компания (но это второстепенно). Формулировка ""где деньги уйдут, а релевантный опыт останется"" звучит цинично. Фраза ""косякнул, написал плохой код"" — слишком неформально.","Для меня ключевые критерии: 1) Интересный проект — хочу работать над задачами, которые дают релевантный технический опыт и развивают навыки (например, распределённые системы, высоконагруженные сервисы). 2) Сильная команда — важно окружение, где можно учиться, получать конструктивный фидбэк на код и архитектуру, расти профессионально. 3) Культура code review и качества кода — ценю, когда в команде есть процессы, помогающие писать чистый, поддерживаемый код. 4) Желательно крупная или средняя компания с устоявшимися процессами, но это не критично.","Ответ хороший по сути, но формулировка ""где деньги уйдут, а релевантный опыт останется"" звучит цинично. Лучше сказать ""где можно получить ценный опыт"". Фраза ""косякнул, написал плохой код"" — слишком неформально для интервью, лучше ""если допустил ошибку в архитектуре или оптимизации"". В целом мотивация здоровая: рост, команда, проект.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Ну, в первую очередь это интересность проекта, да, как бы, где деньги уйдут, а релевантный опыт останется... хотелось бы, чтобы команда была сильная, да, что если там где-нибудь косякнул..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Если бы мы встретились с вашими предыдущими коллегами или руководителем и спросили, какой вы, что бы они о вас рассказали?","Опыт и проекты","Коллеги сказали бы, что я люблю оптимизировать и писать чистый код. Неплохой сотрудник, хорошие отношения с коллегами. Ответ слишком неуверенный (""наверное"", ""думаю"", ""что-нибудь скажут хорошее""). Формулировка ""не сотрудник века, но просто хороший сотрудник"" звучит как недооценка себя.","Используй STAR (Situation, Task, Action, Result): ""Думаю, коллеги отметили бы следующее: 1) Внимание к производительности и оптимизации — я всегда стараюсь писать эффективный код, профилировать узкие места. 2) Чистота и поддерживаемость кода — несмотря на оптимизации, не жертвую читаемостью, т.к. понимаю, что код поддерживается годами. 3) Коммуникабельность — хорошо работаю в команде, открыт к фидбэку. Пример: на предыдущем проекте оптимизировал алгоритм агрегации ликвидности, сократив время выполнения на 30%, при этом код остался понятным для команды (добавил комментарии, провёл code review).""","Ответ честный, но слишком неуверенный (""наверное"", ""думаю"", ""что-нибудь скажут хорошее""). Нужно быть увереннее, приводить конкретные примеры. Формулировка ""не сотрудник века, но просто хороший сотрудник"" звучит как недооценка себя. Лучше фокусироваться на конкретных достижениях и навыках.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Ну, сказали бы, наверное, что он любит-любит оптимизировать и, что удивительно, несмотря на любовь к оптимизации, люблю чистый код... сказали бы, наверное, неплохой сотрудник. Ну, само собой, там, не знаю, не сотрудник века, но просто хороший сотрудник..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Посмотрите на этот код, что вам здесь не нравится? (код с множественными ошибками: неправильное наследование, удаление, не виртуальный деструктор)","C++ / Code review","Нашёл большинство ошибок: не виртуальный деструктор, двойное удаление, shadowing переменной i (int в Foo, char в Bar), удаление массива через delete вместо delete[], нарушение стиля (отступы). Объяснение сбивчивое, путался в формулировках (""i сменил ориентацию""). Не упомянул RAII и умные указатели как решение.","Ошибки в коде: 1) Не виртуальный деструктор в базовом классе — при удалении через указатель на базовый класс вызовется только деструктор базового класса, что приведёт к утечке памяти и UB. Решение: virtual ~Foo() = default; 2) Переопределение переменной i в производном классе (shadowing) — в Foo есть int i, в Bar — char i. Это shadowing, код скомпилируется, но запутает читателя. 3) Двойное удаление (delete) одного объекта — UB, скорее всего падение программы. Решение: использовать RAII (unique_ptr, shared_ptr). 4) Удаление массива через delete вместо delete[] — UB. Решение: delete[] arr; или используй std::vector/std::array. 5) Нарушение стиля (отступы, форматирование) — ухудшает читаемость. 6) Отсутствие return в функции с возвращаемым типом int — UB. Рекомендации: всегда делай деструкторы виртуальными в базовых классах, используй RAII, следи за shadowing переменных, соблюдай единый стиль кода.","Кандидат нашёл большинство ошибок, но объяснял сбивчиво, путался в формулировках (""i сменил ориентацию""). Хорошо, что упомянул нарушение стиля (отступы, ""Мартин"" — отсылка к Роберту Мартину, ""Чистый код""). Не упомянул RAII и умные указатели как решение. Для подготовки: систематизировать знания по UB, RAII, виртуальным функциям, отработать чёткие формулировки.","Средний (C++)","N/A","неизвестно","","","","Так, ну у нас есть конструктор, деструктор, не виртуальный. У нас есть i, который переопределяется... Да, и в одном случае int, в другом случае вообще char... Почему i становится char?.. Вот мы virtual делаем, и у нас получается один..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Посмотрите на этот код, что здесь интересного? В чём проблема исключения в деструкторе?","C++ / Исключения","Правильно определил проблему: исключение в деструкторе с noexcept → std::terminate(), перекрытие исключений (одно исключение скрывает другое в блоке try). Объяснение сбивчивое, но суть понял. Не упомянул std::nested_exception и детали stack unwinding.","Проблемы в коде: 1) Исключение в деструкторе с noexcept — деструкторы по умолчанию помечены noexcept. Если в деструкторе бросается исключение, вызывается std::terminate(), программа аварийно завершается. Решение: ~Foo() noexcept { try { /* опасные операции */ } catch (...) { /* логируем, но не пробрасываем */ } } 2) Перекрытие исключений (exception masking) — если в блоке try бросается исключение, а в catch бросается другое, первое исключение теряется. В C++11+ можно использовать std::exception_ptr и std::current_exception() для сохранения исключений. 3) Stack unwinding + исключение в деструкторе — если во время stack unwinding (раскрутки стека при обработке исключения) в деструкторе бросается ещё одно исключение, вызывается std::terminate(). Что выведется в консоль? Программа завершится через std::terminate(), вывод зависит от реализации, но скорее всего ничего не выведется (или выведется сообщение о terminate). Best practices: деструкторы не должны бросать исключения, оборачивай опасные операции в try-catch и логируй ошибки, используй std::nested_exception для сохранения цепочки исключений.","Кандидат правильно определил проблему: исключение в деструкторе с noexcept → terminate(), перекрытие исключений. Объяснение сбивчивое, но суть понял. Не упомянул std::nested_exception и детали stack unwinding. Для подготовки: изучить механизм исключений, noexcept, std::terminate(), std::exception_ptr. Отработать чёткие формулировки.","Средний (C++)","N/A","неизвестно","","","","О, ошибка в деструкторе... Я нашел две ошибки, одна ошибка мешает поймать другую... одна ошибка скрывает другую в блоке try, и у нас есть ошибка в деструкторе... деструктор по памяти terminate вызовет. А terminate это очень плохо..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Посмотрите на этот код. Что здесь не хватает? (ромбовидное наследование)","C++ / ООП","Правильно определил проблему: ромбовидное наследование (diamond problem), дублирование данных (если в базовом классе есть поля, в производном классе будет два набора этих полей). Решение: виртуальное наследование (virtual public). Объяснение краткое, но верное. Не упомянул детали (vtable, порядок вызова конструкторов, overhead).","Проблема: ромбовидное наследование (diamond problem). Без виртуального наследования класс D содержит два экземпляра A (один через B, один через C), что приводит к: дублированию данных (если в A есть поля, в D будет два набора этих полей), неоднозначности при обращении к членам A из D. Решение: виртуальное наследование. class A { public: int size; }; class B : virtual public A {}; class C : virtual public A {}; class D : public B, public C {}; // D содержит один A. Как работает виртуальное наследование: компилятор создаёт один общий экземпляр базового класса A для всей иерархии, используется виртуальная таблица (vtable) для доступа к членам A, немного медленнее обычного наследования из-за дополнительной индирекции. Trade-offs: решает проблему дублирования данных, убирает неоднозначность, но есть небольшой overhead (дополнительная индирекция через vtable), усложняет конструирование (конструктор A вызывается из самого производного класса D).","Кандидат правильно определил проблему (ромбовидное наследование, дублирование данных) и решение (виртуальное наследование). Объяснение краткое, но верное. Не упомянул детали (vtable, порядок вызова конструкторов, overhead). Для подготовки: изучить механизм виртуального наследования, порядок вызова конструкторов, trade-offs.","Средний (C++)","N/A","неизвестно","","","","А, я понял. Вы сейчас будете меня мучить ромбовидным наследованием. Не хватает ключевого слова virtual при наследовании... Ну, у нас будет же два класса включены в один. Это плохо... Вот мы virtual делаем, и у нас получается один."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Посмотрите на этот код. Что будет происходить с каждым кастом? (static_cast, dynamic_cast, reinterpret_cast, C-style cast)","C++ / Касты","Понимает общую разницу между кастами (static_cast — компиляция, dynamic_cast — рантайм, проверка типа), но путается в деталях. Неверно утверждает, что dynamic_cast для указателей ""не ловит ошибку"" (на самом деле возвращает nullptr). Не упомянул, что dynamic_cast для ссылок бросает std::bad_cast. Не упомянул const_cast. Объяснение reinterpret_cast поверхностное. C-style cast объяснил правильно (комбинация кастов, опасно).","Типы кастов в C++: 1) static_cast — проверяется на этапе компиляции, используется для явного приведения встроенных типов (int → double), приведения в иерархии наследования (upcast/downcast) без проверки типа в рантайме, приведения void* к типизированному указателю. Опасность: если делаешь downcast к неправильному типу → UB. 2) dynamic_cast — проверяется в рантайме, требует RTTI и виртуальных функций в базовом классе. Для указателей: возвращает nullptr, если каст невозможен. Для ссылок: бросает std::bad_cast, если каст невозможен. Когда использовать: downcast в иерархии полиморфных классов. Overhead: медленнее static_cast (проверка типа в рантайме через vtable). 3) reinterpret_cast — низкоуровневый каст, переинтерпретирует биты. Используется для приведения указателя к целому числу и обратно, приведения между несвязанными типами указателей. Опасность: почти всегда приводит к UB, если не знаешь точно, что делаешь. 4) C-style cast (Type)value — самый опасный, комбинация const_cast, static_cast, reinterpret_cast. Компилятор пытается применить их в порядке, пока один не сработает. Нет проверок типа, может скрывать ошибки, плохая читаемость. Не используй в современном C++! Best practices: используй dynamic_cast для downcast в полиморфных иерархиях (если нужна безопасность), используй static_cast для явных приведений типов (если уверен в типе), избегай reinterpret_cast и C-style cast, предпочитай RAII и умные указатели вместо сырых указателей.","Кандидат понимает общую разницу между кастами, но путается в деталях. Неверно утверждает, что dynamic_cast для указателей ""не ловит ошибку"" (на самом деле возвращает nullptr). Не упомянул, что dynamic_cast для ссылок бросает std::bad_cast. Не упомянул const_cast и его отличие от других. Объяснение reinterpret_cast поверхностное. C-style cast объяснил правильно (комбинация кастов, опасно). Для подготовки: систематизировать знания по кастам, отработать примеры на каждый тип каста, изучить RTTI и vtable.","Средний (C++)","N/A","неизвестно","","","","Ну, по идее, из-за того, что авто нигде ошибки не будет. Ну, типа, кстати, каст он и так не очень любит ошибки выдавать, в отличие от динамика... Динамик каста к поинтерам, по моей памяти, он поинтер к поинтерам, он всегда кастует..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","Зачем нам нужна виртуальная таблица? Где она хранится?","C++ / ООП / Внутреннее устройство","Понимает общую идею (vtable хранит указатели на виртуальные функции, используется для вызова правильной функции), но объяснение неточное. ""Класс будет хранить по интернету виртуальные методы"" — непонятная формулировка. Правильно указал, что vtable в статической памяти, но не упомянул vptr в объекте. Не упомянул механизм работы (разыменование vptr → vtable → функция). Не упомянул overhead и trade-offs.","Виртуальная таблица (vtable) — механизм реализации динамического полиморфизма в C++. Как работает: 1) Каждый класс с виртуальными функциями имеет vtable — массив указателей на виртуальные функции этого класса. 2) Каждый объект такого класса содержит скрытый указатель vptr (virtual pointer) на vtable своего класса. 3) При вызове виртуальной функции через указатель/ссылку на базовый класс: компилятор генерирует код для разыменования vptr → получение адреса vtable, из vtable берётся адрес нужной функции (по индексу), вызывается функция. Где хранится vtable: статическая память (data segment) — создаётся компилятором один раз для каждого класса. vptr хранится в каждом объекте (обычно в начале объекта, добавляет overhead ~8 байт на 64-битных системах). Overhead: память: +8 байт на объект (vptr), производительность: дополнительная индирекция (2 разыменования: vptr → vtable → функция). Trade-offs: позволяет динамический полиморфизм (вызов правильной функции в рантайме), но есть накладные расходы на память и производительность, усложняет оптимизации компилятора (devirtualization). Best practices: используй виртуальные функции, когда нужен полиморфизм, если производительность критична и полиморфизм не нужен, избегай виртуальных функций (используй шаблоны / CRTP), всегда делай деструктор виртуальным в базовых классах.","Кандидат понимает общую идею (vtable хранит указатели на виртуальные функции, используется для вызова правильной функции), но объяснение неточное. ""Класс будет хранить по интернету виртуальные методы"" — непонятная формулировка. Правильно указал, что vtable в статической памяти, но не упомянул vptr в объекте. Не упомянул механизм работы (разыменование vptr → vtable → функция). Не упомянул overhead и trade-offs. Для подготовки: изучить детали vtable/vptr, порядок вызова функций, overhead, devirtualization.","Средний (C++)","N/A","неизвестно","","","","Витейбл, имеете в виду?.. Ну, у нас, условно говоря, есть какие-то виртуальные методы. И класс будет хранить по интернету виртуальные методы, и чтобы когда мы вызывали их, мы могли через вот эту таблицу найти, какой именно виртуальный метод вызывается... По памяти сама таблица хранится в статике, в статической памяти..."
"N/A","Киберпротект (Cyber Protect)","Middle C++ Backend Developer","В чём было кардинальное изменение между C++11 и C++17? Что захотелось перейти?","C++ / Стандарты","Правильно упомянул, что C++17 добавил много фич и позволил отказаться от Boost. Однако неверно утверждает, что ""атомики, потоки в 17 начинают появляться"" — они появились в C++11! Не упомянул ключевые фичи C++17 (structured bindings, std::optional, std::string_view, guaranteed RVO, if constexpr).","Ключевые изменения между C++11 и C++17: C++11 (революция): Move-семантика (std::move, rvalue references &&), умные указатели (std::unique_ptr, std::shared_ptr, std::weak_ptr), лямбда-функции, auto, decltype, nullptr, range-based for, variadic templates, std::thread, std::mutex, std::atomic (базовая многопоточность), constexpr. C++14 (инкрементальное улучшение): generic lambdas (auto в параметрах лямбд), std::make_unique, relaxed constexpr. C++17 (большое улучшение): structured bindings, std::optional, std::variant, std::any, std::string_view, fold expressions, if constexpr, guaranteed copy elision (RVO), parallel STL algorithms, std::filesystem, inline variables, [[nodiscard]], [[maybe_unused]]. Почему переходить: безопасность (std::optional, std::variant вместо сырых указателей/union), производительность (guaranteed RVO, std::string_view, parallel algorithms), удобство (structured bindings, if constexpr, std::filesystem), отказ от Boost (многие фичи Boost теперь в стандарте).","Кандидат правильно упомянул, что C++17 добавил много фич и позволил отказаться от Boost. Однако ответ неточный: ""атомики, потоки в 17 начинают появляться"" — НЕВЕРНО, они появились в C++11! Не упомянул ключевые фичи C++17 (structured bindings, std::optional, std::string_view, guaranteed RVO, if constexpr). Для подготовки: систематизировать знания по стандартам C++, изучить ключевые фичи каждого стандарта.","Средний (C++)","N/A","неизвестно","","","","Да, в СОМ-то в 17 много фишек добавили. Ну, типа по памяти, да я давно этим занимался, атомики, потоки в 17 начинают появляться. Типа до этого все на бустовских вещах... А буст, вон, тяжелая библиотека, не самая проработанная..."
