"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","N/A","Middle/Senior C++ Developer","Что такое SOLID принципы и для чего они нужны?","Опыт и проекты","Помню что это принципы хорошего программирования, чистый код. Single Responsibility - каждый источник работает под свою задачу, не должно быть смешивания контекста. Есть тема с интерфейсами - базовый интерфейс и наследники, нужно расширять функционал а не менять базовую часть. Все нацелено на масштабируемость и уменьшение ошибок.","SOLID - набор из пяти принципов ООП: S-Single Responsibility (одна ответственность), O-Open/Closed (открыт для расширения закрыт для модификации), L-Liskov Substitution (объекты подклассов заменяют базовый класс), I-Interface Segregation (узкие интерфейсы вместо жирных), D-Dependency Inversion (зависимость от абстракций). Цель: снижение связанности, повышение связности, улучшение тестируемости, упрощение рефакторинга.","Правильно определил S и частично O/L. Не назвал все пять принципов. Общую концепцию и цели изложил верно. Рекомендация: повторить все пять принципов с примерами, особенно ISP и DIP.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Смотри я помню что это грубо говоря принципы хорошего программирования"
"N/A","N/A","Middle/Senior C++ Developer","Какие паттерны проектирования знаешь? Есть любимые или нелюбимые?","Архитектура/Системы","Некоторые знаю по задачам с которыми работал. Реализовывал паттерн наблюдатель (Observer/PubSub) на первой работе для системы сообщений между программами. Делали бортовой компьютер для самолета - дисплей сервер и бизнес-логика, при нажатии пользователя нужно было отправлять сообщения между программами.","Основные категории GoF паттернов: Порождающие (Singleton, Factory, Builder, Prototype), Структурные (Adapter, Decorator, Facade, Proxy), Поведенческие (Observer/PubSub для уведомлений, Strategy для инкапсуляции алгоритмов, Command, State). Observer - когда зависимые объекты уведомляются об изменениях через механизм подписки. Пример: Subject с методами attach/notify, Observer с методом update.","Знаком с Observer/PubSub из практики что хорошо. Не назвал другие распространенные паттерны. Рекомендация: изучить классические GoF паттерны (Singleton, Factory, Strategy, Decorator), особенно применимые в C++ где RAII можно рассматривать как паттерн.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","На первой работе надо было реализовать паттерн наблюдатель"
"N/A","N/A","Middle/Senior C++ Developer","Какой опыт в сетевом программировании? Какие библиотеки использовал?","Архитектура/Системы","Мало опыта с сетевым программированием. На слуху библиотеки типа Boost.Asio. Знаю про TCP, UDP соединения, raw-sockets. Глубоко не погружался в программирование самих соединений. На первой работе заглядывал как сериализуем/десериализуем сообщения pub-sub. Был protobuf который все делает, у нас было самописное через линуксовые системные вызовы типа receive и send.","Основные библиотеки: Boost.Asio (асинхронный ввод-вывод, де-факто стандарт), POSIX Sockets/BSD Sockets (socket, bind, listen, accept, connect, send, recv), gRPC/ZeroMQ/nanomsg (высокоуровневые для IPC и RPC). Протоколы: TCP (надежный с установлением соединения), UDP (ненадежный без соединения), raw sockets (низкоуровневый доступ). Сериализация: Protocol Buffers, JSON, MessagePack, FlatBuffers.","Опыт поверхностный, знание на уровне терминов. Упомянул Boost.Asio (называет Boost.io), знаком с TCP/UDP, сериализацией (protobuf). Рекомендация: углубиться в Boost.Asio, изучить основы BSD Sockets, практиковаться с простыми клиент-серверными приложениями.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","С сетевым программированием у меня мало опыта"
"N/A","N/A","Middle/Senior C++ Developer","Какие способы межпроцессного взаимодействия (IPC) знаешь?","Архитектура/Системы","Не смог назвать способы IPC. После подсказки вспомнил про сокеты. Не вспомнил другие способы.","Основные способы IPC: Сокеты (Unix Domain/Internet Sockets - универсальный механизм), Pipes (каналы - однонаправленная передача через pipe/mkfifo), Shared Memory (разделяемая память - быстрый способ через shmget/shmat/mmap), Message Queues (очереди сообщений POSIX или System V), Signals (сигналы для простейших уведомлений), Memory-Mapped Files (файл отображаемый в память нескольких процессов).","Серьезный пробел для middle/senior позиции в системном программировании. Не смог назвать способы IPC кроме сокетов и то после подсказки. Рекомендация: изучить pipes, shared memory, message queues, практиковаться с примерами на Linux.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","Блин тут что-то я не скажу может название не знаю"
"N/A","N/A","Middle/Senior C++ Developer","Какой опыт работы с базами данных? С какими БД работал?","БД/Транзакции","Практически нет опыта с БД. Недавно была задача с SQLite для системы репортов - при старте программы создавались таблицы для репортов и визуального отображения. Для другого продукта нужно было комбинировать несколько таблиц, узнал что у SQLite есть вьюхи (views) - таблица на оперативной памяти заранее созданная.","Основы SQL: SELECT, JOIN (INNER, LEFT, RIGHT), WHERE, GROUP BY, ORDER BY, агрегатные функции (SUM, COUNT, AVG). Views (представления) - виртуальные таблицы определяемые запросом, не хранятся в памяти (materialized views - исключение). Индексы (B-tree, Hash) ускоряют поиск но замедляют INSERT/UPDATE. Транзакции: ACID свойства (Atomicity, Consistency, Isolation, Durability) с BEGIN, COMMIT, ROLLBACK. ORM vs Raw SQL.","Опыт минимален (работа с SQLite views). Не знаком с индексацией, транзакциями, оптимизацией запросов. Критичный пробел для позиций где работа с БД важна. Рекомендация: изучить SQL (курсы на LeetCode, SQL-ex.ru), попрактиковаться с PostgreSQL/MySQL, разобрать индексы, транзакции, EXPLAIN.","Средний (БД/Транзакции)","N/A","неизвестно","","","","С БД у меня прям не было опыта совсем"
"N/A","N/A","Middle/Senior C++ Developer","Какую систему контроля версий используешь? Опыт работы с большими monorepo?","DevOps/Инфраструктура","В основном работал с Git, не сталкивался с SVN. Недавно перешли на свою систему контроля версии похожую на Git. Проблема была с огромным Monorepo - долго отрабатывают pulls, commits из-за размера репозитория. Одно из решений - виртуальная файловая система когда у тебя пустышки файлов и папок, при открытии подгружается. Есть Git Sparse Checkout для этого. Новая система версий из коробки имеет решение с виртуальной файловой системой.","Системы контроля версий: Git (распределенная VCS стандарт индустрии - clone, commit, push, pull, branch, merge, rebase), SVN (централизованная устаревает), Mercurial (распределенная похожа на Git). Решения для больших monorepo: Git LFS (Large File Storage для больших файлов), Git Sparse Checkout (частичная выгрузка), VFS for Git/GVFS (виртуальная файловая система от Microsoft), Perforce/Mercurial (альтернативы для больших проектов), собственные решения (Google Piper, Facebook Sapling).","Знаком с Git на базовом уровне, понимает проблемы monorepo и решения (VFS). Упомянул Git Sparse Checkout. Хороший практический опыт с нестандартными решениями. Рекомендация: углубить знания Git (rebase, cherry-pick, submodules, hooks).","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","В основном столкнулся только с Git"
"N/A","N/A","Middle/Senior C++ Developer","Какой опыт работы с Linux?","DevOps/Инфраструктура","На первых двух работах разрабатывал в среде Linux. Пытался разбираться с bash скриптами по аналогии - видел что-то потом пробовал повторить. Сейчас из-за большого перерыва нужно время чтобы освоиться так как продукты разрабатываются под Windows. Использовал на уровне пользователя - обычные команды типа ls, cd, копирование, замены строк.","Основы работы с Linux: Базовые команды (ls, cd, pwd, cp, mv, rm, cat, grep, find, ps, top, kill). Работа с текстом (sed, awk, cut, sort, uniq, wc). Bash scripting (переменные, циклы for/while, условия if, функции, перенаправление ввода-вывода). Системные вызовы (понимание fork, exec, pipe, работа с файловыми дескрипторами). Сетевые утилиты (netstat, ss, curl, wget, tcpdump).","Знаком с Linux на уровне пользователя, писал bash скрипты по аналогии. Сейчас работает на Windows навыки Linux ослабли. Рекомендация: освежить знания bash, попрактиковаться с sed/awk, разобрать системные вызовы если актуально для позиции.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","На первых двух работах с Линуксом были"
"N/A","N/A","Middle/Senior C++ Developer","Опыт с другими языками программирования кроме C++?","Опыт и проекты","Смотрел скрипты коллег на прошлой работе. Bazel очень похож на Python так как у него питоновский диалект StarLark. Переводили проект на систему сборки Bazel - надо было перевести ms-build скрипты на Bazel. Приходилось заглядывать в фишки локального производства. Есть отдельная команда которая разрабатывает свой фреймворк на Bazel так как новый Bazel не хочет под Windows сильно развиваться.","Полезные языки для C++ разработчика: Python (скрипты, прототипирование, автоматизация, data science), Bash/Shell (автоматизация задач в Linux), JavaScript/TypeScript (Frontend, Node.js для backend), Go/Rust (современные системные языки альтернативы C++), CMake/Bazel/Starlark (языки систем сборки DSL).","Знаком с Python поверхностно через Bazel/Starlark, писал build-скрипты. Нет опыта с другими языками. Рекомендация: изучить Python на базовом уровне (полезно для скриптов и автоматизации), рассмотреть Go или Rust для расширения кругозора.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Смотрел скрипты на прошлой работе у коллег"
"N/A","N/A","Middle/Senior C++ Developer","Чем отличается malloc от new?","Python-специфика","Оператор new под капотом вызывает malloc. Разница в том что malloc просто выделяет память, а new еще вызывает конструктор на выделенной памяти. Плюс если что-то не получилось new может кинуть исключение bad_alloc. malloc возвращает nullptr если не получилось поэтому надо проверять что выделилось.","Различия malloc и new: malloc из C не вызывает конструктор, new из C++ вызывает конструктор. malloc возвращает nullptr при ошибке, new бросает std::bad_alloc. malloc возвращает void* нужен cast, new возвращает типизированный указатель. malloc требует явного размера sizeof(T), new вычисляет автоматически. Освобождение через free() для malloc и delete для new. Для массивов malloc(n*sizeof(T)) и new T[n]/delete[]. Аллокатор сохраняет размер блока в служебной области перед выделенным блоком, free/delete читают этот заголовок. Для массивов new[] дополнительно сохраняет количество элементов, delete[] читает это количество и вызывает деструктор для каждого элемента.","Правильно назвал ключевые различия: вызов конструктора, исключения, типизация. Правильно объяснил откуда free знает размер (из служебной области). Не сразу вспомнил откуда delete[] знает количество элементов но после подсказки дал верный ответ. Рекомендация: повторить placement new, перегрузку operator new.","Базовый (Python)","N/A","неизвестно","","","","Оператор new по-моему под капотом как раз malloc вызывает"
"N/A","N/A","Middle/Senior C++ Developer","Для чего используется ключевое слово explicit?","Python-специфика","Explicit - это явное конструирование предотвращает неявные преобразования типов. Например в конструкторе принимается int, пытаешься конструироваться от char. Если не будет explicit он его неявно конвертирует. Со стандарта C++11 explicit имеет смысл на несколько аргументов но не понял в чем прикол.","Ключевое слово explicit запрещает неявное создание объекта через конструктор с одним аргументом (или несколькими с C++11). Без explicit компилятор автоматически вызовет конструктор при присваивании MyClass obj2 = 10 что может привести к неожиданным конверсиям и ошибкам. С explicit требуется явный вызов MyClass obj2(10) или MyClass obj2 = MyClass(10). С C++11 можно применять к конструкторам с несколькими аргументами с дефолтными значениями.","Понимает суть explicit - предотвращение неявных конверсий. Путается в деталях (про конверсию char в int не совсем корректно). Интервьюер уточнил: речь о неявном создании объекта а не о конверсии типов аргументов. Рекомендация: повторить примеры с explicit особенно для конструкторов с несколькими аргументами (C++11+).","Средний (Django ORM)","N/A","неизвестно","","","","Эксплисит это явное конструирование чтобы предотвратить неявные преобразования типов"
