```csv
"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Расскажите, пожалуйста, что вы знаете про умные указатели. Что это такое?","Python-специфика","Кандидат описал три типа умных указателей, но перепутал названия (назвал weak_ptr как Unique PTR второй раз) и неверно объяснил назначение weak_ptr (говорил о счётчике с нуля и оптимизации shared_ptr, что неверно). Понимание поверхностное, путаница в терминах.","Умные указатели — шаблоны классов в C++ (с C++11), автоматизирующие управление временем жизни динамически выделяемых объектов через RAII. Основные типы: 1) std::unique_ptr<T> — эксклюзивное владение (один владелец), не копируется, только перемещается. 2) std::shared_ptr<T> — разделяемое владение (несколько владельцев), счётчик ссылок в control block, объект удаляется когда счётчик → 0. 3) std::weak_ptr<T> — не владеет ресурсом, наблюдает за объектом управляемым shared_ptr, не увеличивает счётчик владения, используется для разрыва циклических зависимостей. Перед использованием нужно вызвать .lock() → вернёт shared_ptr или nullptr если объект удалён. Пример: auto shared = std::make_shared<int>(42); std::weak_ptr<int> weak = shared; if (auto locked = weak.lock()) { /* работаем с объектом */ }","Кандидат знает о существовании трёх типов, но путается в названиях и не понимает назначение weak_ptr. Неверно объяснил как работает weak_ptr (счётчик с нуля, оптимизация shared_ptr). Правильный ответ: weak_ptr не владеет ресурсом, используется для разрыва циклических зависимостей shared_ptr. Рекомендуется повторить cppreference.com: Smart pointers.","Базовый (Python)","N/A","неизвестно","","","","Умные указатели это такое средство для того чтобы себе не выстрелить в колено при выделении памяти. Есть три разных основных три про четвертый говорить не буду его уже давно нет. Получается у нас виды это Shared PTR Unique PTR и Unique PTR"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Как бы вы использовали умные указатели в многопоточной разработке? Допустим, надо некий объект обернуть умный указатель и использовать там в многопоточной среде. Какой бы умный указатель до этого использовали?","Архитектура/Системы","Кандидат верно выбрал shared_ptr для многопоточной среды, объяснив что он имеет счётчики и допускает совместное использование ресурсов. Однако обоснование поверхностное — не упомянул атомарность счётчика ссылок, не говорил о необходимости синхронизации доступа к данным внутри объекта.","Выбор умного указателя зависит от сценария владения. 1) std::shared_ptr<T> если несколько потоков владеют объектом — счётчик ссылок атомарный, безопасно копировать/уничтожать shared_ptr в разных потоках. НО доступ к данным внутри объекта (*ptr, ptr->method()) не синхронизирован, нужен std::mutex. Пример: auto data = std::make_shared<std::vector<int>>(); std::mutex mtx; std::thread t1([data, &mtx]() { std::lock_guard lock(mtx); data->push_back(1); }); 2) std::unique_ptr<T> + передача владения если один поток создаёт объект затем передаёт владение другому через std::move. 3) std::weak_ptr<T> для наблюдения за объектом без продления жизни. Ключевые моменты: shared_ptr thread-safe для операций с самим указателем, доступ к данным требует внешней синхронизации.","Кандидат интуитивно выбрал shared_ptr, но не понимает нюансов: атомарность счётчика ≠ потокобезопасность данных. Не упомянул необходимость синхронизации доступа к объекту (мьютексы). Рекомендуется изучить C++ Concurrency in Action (Anthony Williams), главы про умные указатели и синхронизацию.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","Ну в зависимости от ситуации наверное вряд ли это был бы Unique PTR так как возможны конфликты при использовании ресурсов потому что поток будет один уже к нему обратиться а второй не сможет обратиться. В этой ситуации я бы скорее всего использовал Shared PTR так как он имеет счетчики и допускает совместное использование ресурсов"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Перед вами небольшая функция, которая выполняет некую бизнес-логику обработки API-запроса. Бизнес-логика выполняется не совсем верно. Код написан, и конкретно здесь мы понимаем что у нас регулярно подаются верные данные но мы получаем в логе постоянно что ошибка происходит в API. Надо понять что не так — данные подаются верные входные JSON сервис API перепроверяем тут все корректно. Понимаем что ошибка где-то в коде. Чего-то не хватает или что-то лишнее.","Алгоритмы и структуры данных","Кандидат размышлял вслух, немного путался в формулировках, но корректно нашёл проблему: отсутствие break после кейса serviceNumber1 во внешнем switch, что приводит к fall-through в default который всегда вызывает handleErrorMessage(). Сказал: 'получается после него мы не выходим у нас брека нет, то есть получается мы всегда проваливаемся в конечный дефолт который возвращает нам ошибку'.","Проблема: отсутствие break; после блока case serviceNumber1: во внешнем switch. В C++ switch использует fall-through — если нет break выполнение продолжается в следующий case/default. После обработки serviceNumber1 (включая вложенный switch) управление проваливается в case serviceNumber2 затем в default где вызывается handleErrorMessage('Unknown service'). Исправление: добавить break; после вложенного switch в case serviceNumber1. Best practice: всегда явно добавлять break (или return) даже если это последний кейс для ясности и предотвращения ошибок при рефакторинге. C++17: атрибут [[fallthrough]] для явного обозначения намеренного fall-through. Альтернатива switch: полиморфизм, std::variant + std::visit (C++17).","Отлично! Кандидат самостоятельно нашёл ошибку, размышлял вслух (как и просили), корректно объяснил механизм fall-through. Это базовая но важная проверка внимательности и понимания управляющих конструкций. Единственное замечание: можно было быстрее сформулировать ответ, но это придёт с практикой code review.","Базовый (Python)","N/A","неизвестно","","","","Мне кажется что может быть в этом проблема что в case Number у нас внутри есть свитч в котором казалось бы получается кейс API внутренний свитч case API_v1 и case API_v2 там у нас определенная логика есть. Здесь как бы нормально но получается после него мы не выходим у нас брека нет. Да абсолютно верно. То есть получается мы всегда проваливаемся в конечный дефолт который возвращает нам ошибку"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Скажите пожалуйста вот вы писали что вы знакомы с библиотекой Boost с набором библиотек. Работали ли вы с Boost.Asio может быть Boost.Beast? А работали ли вы с Boost.JSON например?","Python-специфика","Кандидат честно признался что с Boost не работал в продакшене только изучал самостоятельно. Сказал: 'Непосредственно на проектах не взаимодействовал. Для себя помнится пытался смотреть для общего развития но что-то в голове не особо что-то отложилось. С Boost.JSON тоже нет. Вот был период какой-то что-то на новогодних каникулах пытался осилить весь Boost. Посмотреть все 165 библиотек. С творчеством знаком но непосредственно в работе так случалось что обычно за это другие люди отвечали'. Знаком с назначением библиотек на общем уровне.","Boost — коллекция высококачественных C++ библиотек многие стали основой для стандартной библиотеки (shared_ptr, regex, filesystem → C++11/17). Ключевые библиотеки для backend/сетевой разработки: 1) Boost.Asio — асинхронный ввод-вывод (сеть файлы таймеры), основа для высокопроизводительных сетевых приложений (TCP/UDP серверы клиенты), использует event loop (io_context). Пример TCP сервер: boost::asio::io_context io; tcp::acceptor acceptor(io, tcp::endpoint(tcp::v4(), 12345)); while (true) { tcp::socket socket(io); acceptor.accept(socket); std::thread(session, std::move(socket)).detach(); } 2) Boost.Beast — построен поверх Asio, HTTP/HTTPS WebSocket (клиент + сервер), используется для RESTful API WebSocket real-time коммуникации. 3) Boost.JSON — парсинг и генерация JSON (C++11+), альтернативы nlohmann/json RapidJSON. Когда использовать Boost: нужен функционал отсутствующий в стандартной библиотеке (асинхронная сеть до C++20 Coroutines), кросс-платформенность, стабильность проверенность временем.","Кандидат честен: нет практического опыта с Boost только теоретическое знакомство. Для позиции требующей сетевое программирование (особенно для потокового видео) это критичный пробел. Boost.Asio/Beast — de facto стандарт для асинхронной сети в C++ (до появления C++20 Coroutines). Рекомендуется: пройти туториалы по Boost.Asio (официальная документация boost.org), написать простой TCP echo-сервер HTTP клиент, изучить примеры в Boost.Beast (WebSocket HTTP).","Средний (Django ORM)","N/A","неизвестно","","","","Непосредственно на проектах не взаимодействовал. Для себя помнится пытался смотреть для общего развития но что-то в голове не особо что-то отложилось. С Boost.JSON тоже нет. Насколько помню это для сериализации же данных применяется. Вот был период какой-то что-то на новогодних каникулах пытался осилить весь Boost. Посмотреть все 165 библиотек. С творчеством знаком но непосредственно в работе так случалось что обычно за это другие люди отвечали"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Вот у вас в основном приоритетно указана разработка на Qt как я понимаю да? А на чем этот бэкэнд был написан? Библиотека какая использовалась может быть?","Опыт и проекты","Кандидат уточнил что Qt практически не использовал больше GTK. Основная работа — бэкенд-алгоритмы оптимизация кода стабилизация сервисов. Сказал: 'Qt нет. У меня Qt практически не было. У нас GTK был на одном из проектов. А в основном я больше работал над внутренними алгоритмами. Вот кстати как у вас задача только там несколько похуже все было. Тоже нестабильный сервер был на котором постоянно версии менялись. И нужно было его минимально стабилизировать. Небольшие оптимизации кода были. Больше все-таки по внутренним алгоритмам'. Стек: C++17/20 стандартная библиотека (без Boost). Опыт с GTK — быстрое освоение для задач UI (меню кнопки).","Десктоп-разработка на C++: Qt — кросс-платформенный фреймворк (GUI сеть БД мультимедиа), использует MOC (Meta-Object Compiler) для сигналов/слотов. GTK — GUI-тулкит (изначально для Linux GNOME), написан на C есть биндинги для C++ (gtkmm). Оба требуют знания event-driven программирования работы с UI-потоками. Бэкенд-разработка на C++: типичный стек сетевые библиотеки (Boost.Asio libcurl), БД-драйверы (libpq для PostgreSQL MySQL Connector), сериализация (Protobuf JSON). Современный C++ (C++17/20): std::optional std::variant ranges coroutines (C++20). Оптимизация: профилирование (gprof Valgrind perf), алгоритмы (STL кастомные структуры данных). Пример бэкенд-задачи (обработка HTTP-запросов): http::response<http::string_body> handle_api(const http::request<http::string_body>& req) { if (req.target() == '/api/status') { json::object obj = {{'status', 'ok'}}; res.body() = json::serialize(obj); } return res; }","Кандидат честно описывает опыт: минимальный UI (GTK) основная работа — бэкенд-алгоритмы и оптимизация. Использование современного C++ (17/20) — плюс. Однако отсутствие опыта с сетевыми библиотеками (Boost.Asio Beast) и мультимедиа (FFmpeg) — минус для текущей вакансии (потоковое видео). Рекомендуется изучить асинхронное программирование и работу с медиа-стримами.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Qt нет. У меня Qt практически не было. У нас GTK был на одном из проектов. А в основном я больше работал над внутренними алгоритмами. Вот кстати как у вас задача только там несколько похуже все было. Тоже нестабильный сервер был на котором постоянно версии менялись. И нужно было его минимально стабилизировать. Небольшие оптимизации кода были. Больше все-таки по внутренним алгоритмам"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Слышали ли вы про библиотеку такую как FFmpeg?","Python-специфика","Кандидат слышал название но не работал с FFmpeg. Сказал: 'Как сейчас? FFmpeg библиотека. По-моему что-то такое название знакомое но как-то не... Это библиотека для работы с видео-аудио обработки видео-аудио. FFmpeg да. FFmpeg да. Ну с такой нет не сталкивался бы с удовольствием по взаимодействию'. Не знает назначения и возможностей библиотеки.","FFmpeg — кросс-платформенный набор библиотек и утилит для записи конвертации и стриминга аудио/видео. Ключевые компоненты: 1) libavcodec — кодеки (H.264 VP9 AAC MP3). 2) libavformat — контейнеры (MP4 MKV AVI RTSP HLS). 3) libavfilter — фильтры (масштабирование обрезка эффекты). 4) libswscale — конвертация цветовых пространств изменение размера. 5) libswresample — ресемплинг аудио. Типичные задачи: транскодирование (конвертация видео), стриминг (RTSP/HLS/DASH сервер), захват экрана (запись desktop/webcam), обработка (наложение водяных знаков субтитров изменение битрейта). Пример декодирование видео: AVFormatContext* fmt_ctx = nullptr; avformat_open_input(&fmt_ctx, 'input.mp4', nullptr, nullptr); avformat_find_stream_info(fmt_ctx, nullptr); // найти видео-стрим декодер читать фреймы. Интеграция с Boost.Asio (стриминг): FFmpeg декодирует видео → фреймы отправляются через Asio (TCP/UDP) клиентам используется для live-трансляций видеонаблюдения. Альтернативы: GStreamer — pipeline-based фреймворк (более высокоуровневый) OpenCV — для компьютерного зрения (включает базовую работу с видео через FFmpeg).","Критичный пробел для вакансии. Проект связан с записью экранов операторов и потоковой передачей видео → FFmpeg (или аналоги) — must have. Кандидат не знаком с библиотекой даже на базовом уровне. Рекомендуется: пройти FFmpeg tutorial (dranger.com/ffmpeg), изучить официальную документацию (FFmpeg.org/documentation.html), написать простую программу: декодирование видео → сохранение фреймов в PNG.","Средний (Django ORM)","N/A","неизвестно","","","","Как сейчас? FFmpeg библиотека. По-моему что-то такое название знакомое но как-то не... Это библиотека для работы с видео-аудио обработки видео-аудио. FFmpeg да. FFmpeg да. Ну с такой нет не сталкивался бы с удовольствием по взаимодействию"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Так у вас соответственно указан Git и Jira. Скорее всего вы работали в связке с BitBucket да? А как у вас велась там работа в GitLab конкретно? Это было полноценное ветвление или один мастер и вперед?","DevOps/Инфраструктура","Кандидат описал простой feature-branch workflow: у каждого разработчика своя ветка затем мердж в master. Сказал: 'GitLab у нас был. Ну с одним мастером конечно логика была бы ветвление было. То есть у каждого ну как сказать у каждого ну очень у нас небольшая команда была сравнительно то есть там не 30 человек и у каждого была типа своя ветка если нужно было что-то сделать. Ну не что-то просто у каждого своя ветка там работу сделал ее запушил туда и уже потом смотрел сверялся как бы ну на всякий случай там проверял и уже мерджил все это дело'. Признаёт что процесс можно улучшить (возможно имеет в виду code review CI/CD).","Типичные Git workflow: 1) Feature Branch Workflow (то что описал кандидат) — каждая задача → отдельная ветка от main/master коммиты → пуш в ветку → мердж в main (через merge request/pull request). Плюсы: изоляция изменений простота. Минусы: при большой команде возникают конфликты нужен code review. 2) Git Flow — ветки main (продакшн) develop (интеграция) feature/* release/* hotfix/*. Для крупных проектов с регулярными релизами. 3) Trunk-Based Development — все коммитят в main короткоживущие feature-ветки (< 1 день) требует feature flags хорошее покрытие тестами CI/CD. Best practices: Code review (merge/pull requests) обязательно даже в небольших командах. CI/CD: автоматические тесты линтеры (clang-tidy cppcheck) на каждый коммит. Commit message convention (Conventional Commits). Rebase vs Merge: rebase для чистой истории merge для сохранения контекста. Пример GitLab CI (.gitlab-ci.yml): stages: - build - test; build_job: stage: build; script: cmake -B build; artifacts: paths: build/my_app; test_job: stage: test; script: cd build && ctest.","Кандидат знаком с базовым feature-branch workflow но не упоминает code review CI/CD автоматизацию. Для продуктовой разработки (особенно в команде 10-12 человек) это критично. Рекомендуется изучить: GitLab Flow (about.gitlab.com/topics/version-control/what-is-gitlab-flow) — упрощённая версия Git Flow настройка CI/CD для C++ проектов Code review best practices (Google Engineering Practices).","Базовый (Python)","N/A","неизвестно","","","","GitLab у нас был. Ну с одним мастером конечно логика была бы ветвление было. То есть у каждого ну очень у нас небольшая команда была сравнительно то есть там не 30 человек и у каждого была типа своя ветка если нужно было что-то сделать. Ну не что-то просто у каждого своя ветка там работу сделал ее запушил туда и уже потом смотрел сверялся и уже мерджил все это дело"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","А как в целом вам нравится больше работать в одиночку или в команде?","Поведенческие","Кандидат предпочитает командную работу но с автономностью: каждый делает свою часть минимум зависимостей. Сказал: 'Мне нравится работать в команде но как сказать мне нравится работать когда мы вместе что-то делаем то есть ну коллективно но каждый вносит свою какую-то там лепту то есть никогда там допустим никогда командная работа строится таким образом чтобы мне чтобы что-то сделать нужно там одного второго третьего там о чем-то попросить чтобы мне это там сделали либо дождаться либо еще что-то такое. Ну такие случаи конечно же бывают это все ну не исключение но конечно больше как командная работа мне нравится коллективная работа'. Признаёт что блокеры бывают но это исключение.","STAR-формат для поведенческих вопросов: Situation: В проекте для Северстали работал в команде из 5 человек (2 C++ разработчика 1 frontend 1 тестировщик 1 PM). Task: Разработка оффлайн-карт для десктопного приложения. Моя задача — реализация алгоритмов поиска маршрутов (Dijkstra A*) и интеграция с GTK UI. Action: Еженедельные стендапы для синхронизации Code review через GitLab merge requests — коллега проверял мой код я его Pair programming для сложных задач (оптимизация алгоритма A* под большие графы) Документирование API для frontend-разработчика. Result: Алгоритм поиска маршрутов работал на графах до 1M узлов за <100ms Успешная интеграция с UI без блокеров благодаря чёткому API Проект сдан в срок положительная обратная связь от заказчика. Вывод: Предпочитаю командную работу с чёткими интерфейсами между модулями — это позволяет работать автономно но при этом эффективно интегрироваться. Важны регулярные синхронизации и code review для поддержания качества кода.","Ответ кандидата честный но поверхностный — не приведён конкретный пример (STAR). Формулировка 'чтобы мне не нужно было просить других' может насторожить: в реальных проектах зависимости неизбежны (API инфраструктура смежные модули). Рекомендуется: подготовить 2-3 STAR-истории про командную работу (успешная коллаборация разрешение конфликта помощь коллеге) акцентировать на позитивных аспектах зависимостей (code review pair programming knowledge sharing).","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Мне нравится работать в команде но как сказать мне нравится работать когда мы вместе что-то делаем то есть ну коллективно но каждый вносит свою какую-то там лепту то есть никогда там допустим командная работа строится таким образом чтобы мне чтобы что-то сделать нужно там одного второго третьего там о чем-то попросить чтобы мне это там сделали либо дождаться"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Давайте попробуем представить вы открыли браузер на своем компьютере набрали https://www.rbc.ru и у вас отобразилась потом веб-страница на экране вашего компьютера. Вот можете крупными мазками мне рассказать что произошло с момента как вы в браузере набрали вот это https-имя сайта и жмакнули на Enter. Вот что там проскочило где большими-большими мазками ну начните там имя преобразовалось в адрес вот я вам первую подсказку дам чтобы вы поняли чего я ожидаю в ответе.","Архитектура/Системы","Кандидат описал процесс очень упрощённо: DNS запрос → ответ подтверждение (видимо имеет в виду TCP handshake). Сказал: 'Давайте попробую очень широкими мазками. Имя преобразовалось в адрес на этот адрес от компьютера уходит запрос приходит на сервер этот запрос в сервер отвечает на компьютер и от компьютера приходит подтверждение на сервер что информация получена после чего идет загрузка. А давайте ну вы там рассказали http а вот https что произошло из-за s буквы? Ну s это так по логике это тот же канал только с применением шифрования. Соответственно где-то на этом этапе я так предполагаю что произошло шифрование трафика обмен ключами подтверждение что все по-прежнему те же лица здесь взаимодействуют ну не лица а машины и последующий обмен'. Про HTTPS сказал про шифрование и обмен ключами но без деталей (TLS handshake сертификаты).","Пошаговый процесс (HTTPS-запрос): 1) DNS Resolution — браузер проверяет кеш (локальный DNS-кеш hosts-файл) если нет → запрос к DNS-резолверу (8.8.8.8 провайдер) рекурсивный запрос: резолвер → root servers → TLD servers (.ru) → authoritative NS для rbc.ru ответ www.rbc.ru → 185.71.66.15. 2) TCP Handshake — браузер открывает TCP-соединение с сервером (порт 443 для HTTPS) Three-way handshake: Client → Server SYN (seq=x) Server → Client SYN-ACK (seq=y ack=x+1) Client → Server ACK (ack=y+1) соединение установлено. 3) TLS Handshake — Client → Server ClientHello (поддерживаемые cipher suites TLS версия random) Server → Client ServerHello (выбранный cipher suite random) Certificate (сертификат сервера с публичным ключом) ServerHelloDone Client проверяет сертификат (цепочку доверия срок действия CN/SAN) Client генерирует pre-master secret шифрует его публичным ключом сервера → Server обе стороны вычисляют master secret → session keys (симметричное шифрование) Client → Server ChangeCipherSpec Finished (зашифровано) Server → Client ChangeCipherSpec Finished (зашифровано) TLS-туннель установлен. 4) HTTP Request — Client → Server (через TLS): GET / HTTP/1.1 Host: www.rbc.ru. 5) HTTP Response — Server → Client (через TLS): HTTP/1.1 200 OK Content-Type: text/html <!DOCTYPE html><html>... браузер получает HTML парсит запрашивает доп. ресурсы (CSS JS изображения). 6) Rendering — браузер строит DOM CSSOM Layout Painting JavaScript выполняется.","Кандидат знает общую схему (DNS запрос-ответ шифрование) но не знает деталей: TCP handshake (SYN/SYN-ACK/ACK) TLS handshake (ClientHello Certificate pre-master secret) HTTP/1.1 vs HTTP/2. Для позиции требующей сетевое программирование это недостаточно. Рекомендуется: изучить High Performance Browser Networking (Ilya Grigorik) — главы про TCP TLS HTTP практика: использовать tcpdump/Wireshark для анализа пакетов HTTPS-запроса разобрать TLS handshake на уровне пакетов.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","Давайте попробую очень широкими мазками. Имя преобразовалось в адрес на этот адрес от компьютера уходит запрос приходит на сервер этот запрос в сервер отвечает на компьютер и от компьютера приходит подтверждение на сервер что информация получена после чего идет загрузка. Ну s это так по логике это тот же канал только с применением шифрования. Соответственно где-то на этом этапе произошло шифрование трафика обмен ключами подтверждение"
"N/A","Компания, специализирующаяся на ПО для контакт-центров и автоматизации контроля качества","Middle C++ Developer","Хорошо другой вопрос можете мне сказать разницу между потоком и процессом? Когда программу пишете есть процесс есть поток в чем разница с вашей точки зрения?","Архитектура/Системы","Кандидат перепутал процесс и поток: говорит что 'поток это то что выделяется на одно ядро а процесс это уже то что внутри этого скажем так потока выполняется' (это неверно). Также неправильно ответил на вопрос о вложенности: 'в одном потоке конечно может быть несколько процессов да' (это абсурд). Сказал: 'Ну опять-таки если широкими мозгами то ну я прям вообще может быть сейчас немножко по-диетански скажу ну грубо говоря поток это то что выделяется на одно ядро а процесс это уже то что внутри этого скажем так потока выполняется. Чуть если дальше копнуть получается то поток это как бы под поток выделяются там данные ресурсы он ну как бы ну а где особняком стоит от всего. А в одном процессе может быть несколько потоков или один поток может быть с несколькими процессами? Ну в одном потоке конечно может быть несколько процессов да'.","Процесс (Process): Изолированная единица выполнения программы имеет собственное адресное пространство (виртуальная память) дескрипторы файлов переменные окружения. Создание процесса дорого (fork/CreateProcess): копирование адресного пространства (copy-on-write) инициализация. Межпроцессное взаимодействие (IPC) требует явных механизмов: pipes shared memory sockets. Поток (Thread): Легковесная единица выполнения внутри процесса. Все потоки одного процесса разделяют адресное пространство (куча глобальные переменные дескрипторы файлов). Каждый поток имеет собственный стек и регистры (program counter stack pointer). Создание потока дешевле (pthread_create/std::thread): не нужно копировать адресное пространство. Переключение контекста между потоками одного процесса быстрее чем между процессами. Таблица сравнения: Адресное пространство — Процесс: Изолированное Поток: Разделяемое (внутри процесса). Создание — Процесс: Дорого Поток: Дёшево. Переключение контекста — Процесс: Медленнее Поток: Быстрее. Коммуникация — Процесс: IPC Поток: Прямой доступ к памяти (+ синхронизация). Изоляция — Процесс: Высокая Поток: Низкая. Вложенность: Один процесс может содержать несколько потоков (многопоточная программа). Один поток НЕ может содержать несколько процессов (это бессмысленно). Пример (C++): std::vector<std::thread> threads; for (int i = 0; i < 4; ++i) { threads.emplace_back(worker, i); } for (auto& t : threads) { t.join(); }","Критичная ошибка! Кандидат не понимает базовую разницу между процессом и потоком — это фундаментальная концепция для системного программиста. Неправильный ответ на вопрос о вложенности ('в одном потоке может быть несколько процессов') показывает путаницу в терминах. Для работы с многопоточным сервером записи видео это неприемлемо. Рекомендуется: прочитать главу про процессы/потоки в Operating Systems: Three Easy Pieces (бесплатная книга) изучить POSIX Threads (pthreads) или C++ std::thread написать простую многопоточную программу (producer-consumer с std::mutex std::condition_variable).","Средний (Архитектура/Системы)","N/A","неизвестно","","","","Ну опять-таки если широкими мозгами то ну я прям вообще может быть сейчас немножко по-диетански скажу ну грубо говоря поток это то что выделяется на одно ядро а процесс это уже то что внутри этого скажем так потока выполняется. А в одном процессе может быть несколько потоков или один поток может быть с несколькими процессами? Ну в одном потоке конечно может быть несколько процессов да"
