```csv
"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","N/A","Middle C++ Developer","Расскажите о вашем опыте работы и проектах","Опыт и проекты","Работал в аутсорсинговой компании Симберсофт на трех проектах: программа для работы с жесткими дисками (C), мессенджер для Северстали (C++), оффлайн-карты для дорожного строительства (C++). Стек C++14/17/20. Причина ухода — частая смена проектов, хочу стабильности и работы над одним проектом 3-5 лет.","Я работал в Симберсофт над тремя крупными проектами. Первый — утилита для работы с жесткими дисками на C (low-level операции с блочными устройствами). Второй — корпоративный мессенджер для Северстали на C++17 (клиент-серверная архитектура, многопоточность, PostgreSQL, REST API). Третий — картографическое приложение для дорожного строительства на C++20 (оффлайн-карты, рендеринг тайлов, spatial indexes). Использовал Qt, Boost, STL. Причина ухода — желание сосредоточиться на одном продукте и развиваться в глубину, а не в ширину.","Ответ общий, но адекватный. Хорошо мотивирует причину смены работы. Не хватает конкретики по технологиям и достижениям в проектах.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Николай работал в компании «Симберсофт» (аутсорсинговая разработка), участвовал в трех проектах"
"N/A","N/A","Middle C++ Developer","Был ли у вас опыт работы с многопоточностью?","Опыт и проекты","Многопоточка была на первом проекте в ограниченной форме, так как проект писался в процедурном стиле. В целом была знакома, кое-что делал.","Да, активно работал с многопоточностью в мессенджере и картографическом приложении. Использовал std::thread, std::mutex, std::atomic, std::condition_variable для синхронизации. Решал задачи race conditions и deadlocks. Применял thread pools для асинхронной обработки (например, отправка сообщений в фоне). В картах использовал многопоточный рендеринг тайлов. Знаком с паттернами producer-consumer, lock-free структурами данных (std::atomic).","Опыт есть, но ответ поверхностный. Нет конкретных примеров использования примитивов синхронизации, паттернов. Для высоконагруженных систем нужно глубже знать многопоточность, memory ordering, lock-free алгоритмы.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Многопоточка была, ну, на первом проекте достаточно, достаточно такой ограниченной формы"
"N/A","N/A","Middle C++ Developer","Используете ли вы современные фичи C++17/20 или придерживаетесь более старых стандартов?","Python-специфика","Честно говоря, немного потерялся в обновлениях C++20/23/26. Иногда пишу код, думаю что должно работать, а потом понимаю что это фича C++17, а проект на C++14.","Активно использую C++17: std::optional (вместо nullptr для опциональных значений), std::variant (type-safe union), std::string_view (эффективная работа со строками без копирования), structured bindings, if constexpr, fold expressions. Из C++20 знаком с concepts (ограничения на шаблоны), ranges (функциональная работа с контейнерами), coroutines (асинхронность), std::span, std::format. Понимаю trade-offs и когда применять каждую фичу. Например, std::optional<User> findUser(int id) вместо возврата указателя.","Кандидат путается в стандартах, не демонстрирует уверенного владения современным C++. Это критично для production-кода. Нужно систематизировать знания, читать cppreference, практиковаться.","Базовый (Python)","N/A","неизвестно","","","","Да, честно говоря, у меня уже немножко, сейчас вот два двадцатые, там, потом два двадцать шестой уже"
"N/A","N/A","Middle C++ Developer","На каком уровне вы использовали PostgreSQL? Писали ли сложные запросы, JOIN'ы, хранимые процедуры, триггеры?","БД/Транзакции","Писал запросы из C++ через ORM (библиотека libpqxx). Знаком с SQL: SELECT, INSERT, создание таблиц, связывание по ключам. Но больше концентрировались на коде, чем на базах. С хранимыми процедурами и триггерами не работал. JOIN в теории знаю, на практике разобраться недолго.","Работал с PostgreSQL на уровне написания SQL-запросов: SELECT, INSERT, UPDATE, DELETE с использованием JOIN (INNER, LEFT, RIGHT, FULL), GROUP BY, HAVING, подзапросов, CTE (Common Table Expressions). Создавал таблицы, индексы (B-tree, Hash, GiST для spatial данных), внешние ключи, constraints. Понимаю транзакции, уровни изоляции (READ COMMITTED, REPEATABLE READ, SERIALIZABLE), ACID. Знаком с хранимыми процедурами и триггерами концептуально. В C++ использовал libpqxx для подключения, писал тонкие ORM-обертки. Пример: SELECT u.name, COUNT(o.id) FROM users u LEFT JOIN orders o ON u.id = o.user_id GROUP BY u.name HAVING COUNT(o.id) > 5;","Базовые знания SQL есть, но нет опыта с продвинутыми техниками (JOIN, CTE, оконные функции, хранимые процедуры). Для высоконагруженных систем критично уметь оптимизировать запросы. Изучить EXPLAIN/ANALYZE, индексы, книгу SQL Performance Explained.","Средний (БД/Транзакции)","N/A","неизвестно","","","","Я писал кое-какие запросы, ну, из C++, писал для ORM-ки"
"N/A","N/A","Middle C++ Developer","Почему в данном коде с наследованием Foo и Bar возникнут проблемы? (Live coding: поиск ошибок в коде с классами)","Python-специфика","Выявил: отсутствует виртуальный деструктор в Foo, не вызывается деструктор Bar, поверхностное копирование указателей приводит к утечкам и двойному удалению. Не понял, что нужно явно вызывать конструктор базового класса Foo(j) в конструкторе Bar.","Ошибки: 1) Отсутствует virtual деструктор в Foo — при удалении через Base* не вызовется ~Bar(), утечка памяти. 2) Нет явного вызова конструктора Foo в Bar: нужно Bar(int j, int k) : Foo(j), c(new char[k]) {}. 3) Поверхностное копирование в operator= — нужен deep copy и правило трех/пяти. 4) Наследование по умолчанию private — нужно public. 5) Нет конструктора копирования и move-семантики. Исправление: class Foo { public: int* i; Foo(int j) : i(new int[j]) {} virtual ~Foo() { delete[] i; } Foo(const Foo&) = delete; Foo& operator=(const Foo&) = delete; }; class Bar : public Foo { public: char* c; Bar(int j, int k) : Foo(j), c(new char[k]) {} ~Bar() override { delete[] c; } };","Кандидат выявил часть проблем, но пропустил критичную ошибку с вызовом конструктора базового класса. Это базовая концепция ООП в C++. Не предложил реализацию правила трех/пяти, не упомянул move-семантику. Изучить Effective C++ (Scott Meyers), RAII, smart pointers (unique_ptr, shared_ptr).","Средний (Django ORM)","N/A","неизвестно","","","","Ну, либо это может быть новым полем бы сделать. Вот здесь мы вот не совсем понимаем"
"N/A","N/A","Middle C++ Developer","Какова временная сложность операций поиска и вставки в хеш-таблице?","Алгоритмы и структуры данных","В среднем O(1), если хеш-функция в порядке. В худшем случае O(n), когда все элементы попадают в одну корзину и нужно пересчитывать хеш-функцию.","Средний случай: O(1) для поиска, вставки, удаления. Худший случай: O(n), когда все элементы в одной корзине (плохая хеш-функция, много коллизий). Почему O(1): хеш вычисляется за O(1), при хорошем распределении в корзине мало элементов. Почему O(n): все в одной корзине, обход linked list. Поиск: вычисляем hash(key), индекс = hash % table_size, ищем в корзине. Методы разрешения коллизий: chaining (linked lists), open addressing (linear/quadratic probing). Пример: class HashTable { vector<list<pair<K,V>>> table; int hash(K key) { return std::hash<K>{}(key) % table.size(); } void insert(K key, V val) { int idx = hash(key); for(auto& [k,v] : table[idx]) if(k==key) { v=val; return; } table[idx].push_back({key,val}); } };","Среднюю сложность понимает, но объяснение худшего случая путаное. Говорит про пересчитывание хеш-функции — неверно, хеш вычисляется один раз. Худший случай — обход корзины. В опроснике написал O(log n) — это для std::map (сбалансированное дерево), а не хеш-таблицы. Изучить устройство хеш-таблиц, методы разрешения коллизий, LeetCode Hash Table.","Базовый (Python)","N/A","неизвестно","","","","Хэш-таблица, это у нас onoradirectmap же получается, либо onoradirectset. Ну, там в среднем должно быть от единицы"
"N/A","N/A","Middle C++ Developer","В чем отличие std::deque от std::list?","Python-специфика","В list быстрая вставка/удаление в середине, но долгий поиск. В deque быстрый доступ по индексу и добавление в конец, по-моему, в начало тоже. List использует ссылки на предыдущие и последующие элементы.","std::deque (double-ended queue): реализация — массив блоков фиксированного размера (chunked array). Доступ по индексу O(1), вставка/удаление в начале/конце O(1) амортизированное, в середине O(n). Итераторы могут инвалидироваться. std::list (doubly-linked list): доступ по индексу O(n), вставка/удаление в любом месте O(1) при наличии итератора. Итераторы не инвалидируются (кроме удаленного элемента). Больше накладных расходов по памяти (указатели prev/next). Когда использовать: deque — быстрый доступ по индексу + вставка в начале/конце; list — частая вставка/удаление в середине, не важен доступ по индексу. Пример: std::deque<int> d={1,2,3}; d.push_front(0); int x=d[2]; // O(1). std::list<int> l={1,2,3}; auto it=l.begin(); ++it; l.insert(it,10); // O(1).","Кандидат путается в терминологии (называет list ассоциативным контейнером — неверно). Понимание поверхностное, не хватает четкости в характеристиках производительности. Изучить cppreference.com, практиковаться на задачах с выбором правильного контейнера.","Средний (Django ORM)","N/A","неизвестно","","","","По-моему, в деку у нас... Ой, в лист у нас быстрая вставка удаления в середине"
"N/A","N/A","Middle C++ Developer","Чем отличаются static_cast, dynamic_cast, reinterpret_cast?","Python-специфика","static_cast берет конкретное значение и приводит к выбранному типу. dynamic_cast используется при создании классов для реализации полиморфизма, для приведения типов в иерархии. Насчет reinterpret_cast ничего не скажу.","static_cast: явное приведение типов на этапе компиляции, работает с базовыми типами (int→float), указателями в иерархии классов (вверх/вниз без проверки). Нет runtime-проверки. Безопасно, если программист уверен. dynamic_cast: безопасное приведение указателей/ссылок в иерархии (downcast). Работает только с полиморфными типами (виртуальные функции). Проверка во время выполнения. Возвращает nullptr (указатели) или бросает std::bad_cast (ссылки) при ошибке. reinterpret_cast: низкоуровневое приведение (указатель→int). Нет проверок, ответственность программиста. Опасно, используется редко (работа с аппаратными адресами). Пример: Base* b=new Derived(); Derived* d1=static_cast<Derived*>(b); // небезопасно. Derived* d2=dynamic_cast<Derived*>(b); if(d2){/*ok*/} // безопасно. int* p=reinterpret_cast<int*>(b); // опасно.","Понимает static_cast и dynamic_cast поверхностно, не может четко объяснить разницу и сценарии. Не знает reinterpret_cast. Для работы с полиморфизмом и безопасностью типов это критично. Изучить Effective C++, практиковаться на задачах с полиморфизмом, RTTI.","Средний (Django ORM)","N/A","неизвестно","","","","Так, статик каст у нас приводит конкретно, берется конкретное значение и приводится его"
"N/A","N/A","Middle C++ Developer","Расскажите о вашем опыте работы с высоконагруженными системами. Какие масштабы? Сколько пользователей, запросов в секунду?","Архитектура/Системы","Работал над мессенджером для 50-60 тысяч пользователей. Были проблемы с подключением подписчиков к серверу из-за изменений версий. Решили через логирование изменений и доработку логики обработки разных случаев.","Опыт работы с высоконагруженными системами подразумевает: масштаб — тысячи/миллионы RPS, миллионы пользователей. Метрики: RPS, latency (p50/p95/p99), throughput, error rate. Проблемы: race conditions, deadlocks, memory leaks, bottlenecks в БД/сети. Решения: оптимизация запросов, кеширование (Redis, Memcached), масштабирование (горизонтальное/вертикальное), балансировка нагрузки (nginx, HAProxy), асинхронная обработка (очереди, Kafka, RabbitMQ). Мониторинг: логирование (ELK), метрики (Prometheus, Grafana), трейсинг (Jaeger). Пример: использовал Redis для кеширования сессий пользователей, снизил latency на 40%. Kafka для асинхронной обработки сообщений, throughput 100k msg/sec. PostgreSQL: партиционирование таблиц, connection pooling (pgBouncer).","Опыт ограничен клиентской частью мессенджера для 50-60k пользователей. Нет конкретных метрик (RPS, latency). Не демонстрирует глубокого понимания архитектуры распределенных систем, масштабирования, мониторинга. Изучить Designing Data-Intensive Applications (Martin Kleppmann), паттерны высоконагруженных систем, практиковаться на проектах с реальной нагрузкой.","Средний (Архитектура/Системы)","N/A","неизвестно","","","","У нас была проблема с подключением подписчики, вот прям с подключением к этому серверу"
"N/A","N/A","Middle C++ Developer","Какой стандарт C++ будет использоваться в проекте?","Опыт и проекты","N/A","N/A","Вопрос от кандидата. Интервьюеры ответили: предполагается C++17, но можно C++20 при наличии знаний.","Базовый (HR/Tech Intro)","N/A","неизвестно","","","","Какой стандарт C++ использовать?"
