```csv
"Дата собеса","Компания","Вакансия","Вопрос","Тема","Ответ кандидата (как было)","Рекомендованный ответ (как нужно)","Комментарий / Ошибки","Уровень вопроса","Зарплата (USD/мес)","Результат собеседования","Ссылка на HR / контакт","Ссылка на вакансию","Ссылка на документ с полным собесом","Транскрипт"
"N/A","RDAD","C/C++ разработчик (middle)","Если максимально широко сравнить C и C++, чем эти два языка друг от друга отличаются?","Python-специфика","Кандидат перечислил синтаксические различия: классы, обработчики исключений, шаблоны, STL, касты. Сказал, что C — процедурный, C++ — объектно-ориентированный. После уточнения про возможности языка повторил, что C — процедурная история, C++ — объектно-ориентированный подход.","C — процедурный язык (функции, структуры, ручное управление памятью malloc/free). C++ — мультипарадигменный: ООП (классы, наследование, полиморфизм), обобщенное программирование (шаблоны, STL), RAII (автоматическое управление ресурсами через умные указатели), обработка исключений, перегрузка операторов. Ключевое отличие возможностей: C — низкоуровневый контроль, явное управление памятью; C++ — высокоуровневые абстракции (RAII, zero-cost abstractions), безопасность, переиспользование кода. Пример: C требует malloc/free, C++ использует RAII и умные указатели для автоматической очистки.","Ответ поверхностный, перечислены синтаксические различия, но не раскрыта суть парадигм и возможностей (RAII, move-семантика, zero-overhead principle). Не упомянуты ключевые концепции управления ресурсами. Интервьюер дважды пытался направить на возможности языка, но кандидат вернулся к синтаксису. Зона роста: глубже изучить философию C++ (RAII, zero-overhead principle), различия в управлении ресурсами.","Базовый (Tech Intro)","N/A","неизвестно","Андрей (тимлид)","","","Если максимально широко сравнить си и си плюс плюс, чем эти два языка друг от друга отличаются?"
"N/A","RDAD","C/C++ разработчик (middle)","Какие еще парадигмы программирования вы знаете, кроме процедурной и ООП? Объясните функциональную парадигму человеку, который с ней не сталкивался.","Python-специфика","Кандидат упомянул функциональную парадигму, но объяснение было неуверенным: основной единицей являются функции, вычисления выполняются как применение функций к аргументам без изменения состояния. Про процедурную сказал, что это последовательность вызовов функций.","Основные парадигмы: 1) Процедурная (императивная) — последовательность инструкций, изменяющих состояние, фокус на КАК делать. 2) ООП — инкапсуляция данных и поведения в объектах, наследование, полиморфизм. 3) Функциональная — вычисления как применение функций, иммутабельность данных, отсутствие побочных эффектов, функции высшего порядка, фокус на ЧТО вычислять. 4) Декларативная — описание ЧТО нужно получить, а не КАК (SQL, HTML). Объяснение ФП: функция всегда возвращает одинаковый результат для одинаковых аргументов и ничего не меняет вокруг себя (чистые функции). Данные иммутабельны, вместо циклов — рекурсия и функции высшего порядка (map, filter, reduce). Проще тестировать и параллелить.","Кандидат знает термины, но объяснение расплывчатое и неуверенное. Правильно упомянул отсутствие изменения состояния, но не раскрыл иммутабельность, чистоту функций, отсутствие побочных эффектов. Путаница в различии процедурной и функциональной парадигм. Зона роста: углубить понимание ФП (чистые функции, иммутабельность, HOF), практика с map/filter/reduce.","Базовый (Python)","N/A","неизвестно","Андрей (тимлид)","","","Какие еще парадигмы? Функциональная парадигма — это та история, в которой основной единицей являются функции, а вычисления выполняются как применение функций к аргументам без изменения состояния."
"N/A","RDAD","C/C++ разработчик (middle)","Зачем нужен стек, если можно все в куче хранить? Есть языки, где нет стека, и все работает. Зачем в C++ неудобный стек ограниченного размера?","Python-специфика","Кандидат сказал, что стек быстрее, чем куча: для выделения памяти на стеке нужно просто сдвинуть указатель, а в куче — искать свободный блок, фрагментировать. Также упомянул автоматическое освобождение памяти при выходе из функции и меньше утечек памяти. На уточняющий вопрос про необходимость стека ответил, что стек нужен для быстрого и безопасного доступа к данным, автоматически управляемой памяти для локальных переменных и рекурсивных вызовов.","Зачем нужен стек: 1) Скорость выделения/освобождения — O(1), просто сдвиг указателя, нет поиска блока и фрагментации (куча O(log n) или O(n)). 2) Кэш-локальность — данные расположены последовательно, отличная локальность, меньше cache misses, быстрее доступ (куча — данные разбросаны, хуже локальность). 3) Автоматическое управление — RAII из коробки, объекты уничтожаются при выходе из scope, нет утечек (куча — ручное управление delete/free, риск утечек, double free, dangling pointers). 4) Детерминированность — размер фрейма известен на этапе компиляции, предсказуемость (куча — динамическое выделение, может закончиться память). 5) Безопасность — ограниченный размер защищает от бесконечной рекурсии (stack overflow crash, но не съедает всю память, куча может съесть всю RAM). Почему не выделять с запасом в куче: фрагментация (со временем аллокатор не может выделить большой блок), overhead аллокатора (метаданные), многопоточность (блокировки, contention).","Кандидат правильно назвал ключевые моменты (скорость, автоматическое управление, утечки), но не углубился в детали. Не упомянул кэш-локальность (критично для производительности), не объяснил, почему стек быстрее (сдвиг указателя vs поиск блока), не раскрыл проблемы кучи (фрагментация, overhead аллокатора, многопоточность). На провокационный вопрос (давайте с запасом выделять) ответил расплывчато, не привел контраргументы. Зона роста: изучить устройство аллокаторов памяти, кэш-локальность, профилирование памяти.","Средний (Архитектура/Системы)","N/A","неизвестно","Андрей (тимлид)","","","Степ это более быстрая история, чем куча. Чтобы выделить память на стеке, надо просто указатель сдвинуть, а в куче нужно искать свободный блок, фрагментировать."
"N/A","RDAD","C/C++ разработчик (middle)","Какие проблемы могут быть в связи с утечкой памяти?","Python-специфика","Кандидат сказал, что при утечке памяти программа выделяет память в куче и не освобождает её, память продолжает занимать все больше. Это критично для долгоиграющих приложений. Работа системы замедляется, оперативка переполняется, система начинает тормозить, доступ к жесткому диску и оперативной памяти становится медленнее.","Последствия утечек памяти: 1) Рост потребления памяти — программа постепенно занимает всё больше RAM, критично для долгоиграющих приложений (серверы, демоны). 2) Деградация производительности — swapping (когда RAM заканчивается, ОС использует swap на диске, диск в 1000+ раз медленнее RAM), фрагментация (утечки усиливают фрагментацию кучи, аллокатор дольше ищет блоки). 3) Out of Memory (OOM) — Linux OOM Killer убивает процесс с наибольшим потреблением памяти (непредсказуемое завершение), Windows — процесс падает с ошибкой выделения памяти. 4) Недоступность ресурсов для других процессов — утекающий процесс съедает память, другим не хватает, системная нестабильность. 5) Сложность диагностики — утечки проявляются не сразу, трудно найти источник (нужны инструменты Valgrind, AddressSanitizer, heaptrack). 6) Проблемы в embedded/real-time системах — ограниченная память, утечка быстро приводит к краху.","Кандидат правильно описал основные последствия (рост потребления памяти, замедление системы, swapping), но ответ поверхностный. Не упомянул OOM Killer (критично для серверов), не объяснил, почему система тормозит (swapping, фрагментация), не назвал инструменты для обнаружения утечек (Valgrind, ASan). Фраза доступ к жесткому диску медленнее некорректна (утечки RAM не влияют на скорость диска напрямую, но вызывают swapping). Зона роста: практика с инструментами для поиска утечек (Valgrind, ASan), изучение механизмов ОС (OOM Killer, swap).","Базовый (Python)","N/A","неизвестно","Андрей (тимлид)","","","Утечка памяти — программа выделяет память в куче и не освобождает. Память занимается все больше. Критично для долгоиграющих приложений. Работа системы замедляется, оперативка переполняется."
"N/A","RDAD","C/C++ разработчик (middle)","Какие способы межпроцессного взаимодействия вы знаете? Есть два бинарника, нужно передать данные от одного к другому.","Архитектура/Системы","Кандидат назвал: fork, pipe, именованные каналы, разделяемая память, TCP, UDP. На уточняющий вопрос про fork сказал, что fork копирует основной процесс, создает дочерний процесс, они продолжают выполняться независимо друг от друга.","Механизмы IPC (локальные, один хост): 1) Pipes (анонимные каналы) — однонаправленный поток данных между родительским и дочерним процессами через fork, пример ls | grep foo. 2) Named Pipes (FIFO) — двунаправленный канал с именем в файловой системе, любые процессы могут подключиться. 3) Shared Memory — самый быстрый IPC, оба процесса маппят один участок памяти, требует синхронизации (семафоры, мьютексы). 4) Message Queues — асинхронная передача структурированных сообщений (POSIX/System V). 5) Unix Domain Sockets (UDS) — сокеты с файловым путем вместо IP-адреса, быстрее TCP/IP (нет сетевого стека). 6) Signals — асинхронные уведомления (SIGTERM, SIGUSR1), не для передачи данных, только для событий. Сетевые (локальные или удалённые): 7) TCP/IP Sockets — надёжная передача данных (loopback 127.0.0.1 для локальных процессов). 8) UDP/IP Sockets — ненадёжная, но быстрая передача. Fork сам по себе не является механизмом IPC, он создаёт копию процесса, но для обмена данными нужен дополнительный механизм (pipe, shared memory, сокеты). После fork процессы независимы, изменения в памяти одного не видны другому (copy-on-write).","Кандидат назвал несколько механизмов (fork, pipes, named pipes, shared memory, TCP/UDP), но не понимает детали. Критическая ошибка: назвал fork как самостоятельный механизм IPC, но fork — это создание процесса, а не IPC, для IPC после fork нужны pipes/сокеты/shared memory. Не объяснил, как работают pipes (read/write ends, однонаправленность). Не упомянул Unix Domain Sockets, message queues, сигналы. Не раскрыл trade-offs: shared memory (быстро, но нужна синхронизация) vs pipes (медленнее, но проще) vs сокеты (универсально, но overhead). Зона роста: изучить POSIX IPC, написать примеры кода с pipes/shared memory.","Средний (Архитектура/Системы)","N/A","неизвестно","Андрей (тимлид)","","","Можно через форк, через пайп, через именованные каналы, через разделенную память, через TCP, UDP."
"N/A","RDAD","C/C++ разработчик (middle)","Что такое инкапсуляция? Зачем она нужна, если мы все равно геттеры/сеттеры напишем?","Опыт и проекты","Кандидат сказал, что инкапсуляция — метод изолирования данных и методов класса, чтобы ограничить доступ снаружи. Мы скрываем реализацию объекта, доступ к данным делаем через публичные интерфейсы. На вопрос про геттеры/сеттеры ответил, что классы бывают разные, где-то мы ограничиваем методы или данные, чтобы пользователь по ногам себе не стрелял.","Инкапсуляция — сокрытие внутренней реализации класса и предоставление контролируемого доступа через публичный интерфейс (методы). Цели инкапсуляции: 1) Сокрытие деталей реализации — внешний код не зависит от внутреннего устройства, можно менять реализацию без изменения интерфейса. 2) Контроль доступа — валидация данных, инварианты (например, баланс счёта не может быть отрицательным). 3) Упрощение использования — пользователь класса видит только публичные методы, меньше когнитивной нагрузки. 4) Защита от ошибок — нельзя случайно испортить внутреннее состояние. Геттеры/сеттеры не нарушают инкапсуляцию, это контролируемый доступ. Сеттер может валидировать данные, геттер — возвращать копию или read-only view. Прямой доступ к полю (public) — это отсутствие контроля. Пример: класс BankAccount с приватным полем balance, методы deposit/withdraw с валидацией (нельзя снять больше баланса, нельзя отрицательный баланс).","Кандидат правильно определил суть (сокрытие реализации, доступ через интерфейс), но не раскрыл цели. Не упомянул валидацию данных (ключевая причина инкапсуляции). Не объяснил, почему геттеры/сеттеры не нарушают инкапсуляцию (контроль vs прямой доступ). Ответ на провокацию (мы все равно геттеры напишем) слабый, не привел примеры с валидацией. Зона роста: углубить понимание инкапсуляции (инварианты, валидация, изменяемость интерфейса vs реализации).","Базовый (Python)","N/A","неизвестно","Андрей (тимлид)","","","Инкапсуляция это метод изолирования данных и методов класса, чтобы ограничить доступ снаружи. Мы скрываем реализацию объекта, доступ через публичные интерфейсы."
"N/A","RDAD","C/C++ разработчик (middle)","Что такое принцип подстановки Барбары Лисков (буква L в SOLID)? Какая связь у этого принципа с инкапсуляцией?","Архитектура/Системы","Кандидат сказал, что объекты подклассов должны быть взаимозаменяемыми с объектами суперклассов без нарушения правильности работы программы. Если класс один является базовым для другого, то объекты второго класса должны вести себя так же, как объекты первого класса. На вопрос про связь с инкапсуляцией ответил расплывчато: инкапсуляция скрывает детали реализации, помогает управлять доступом к данным, а принцип Лисков гарантирует, что объекты подклассов будут вести себя так же, демонстрируя ожидаемое поведение.","Liskov Substitution Principle (LSP): объекты подклассов должны быть взаимозаменяемы с объектами базового класса без изменения корректности программы. Формальное определение: если S является подтипом T, то объекты типа T могут быть заменены объектами типа S без изменения желаемых свойств программы. На практике: 1) Предусловия не могут усиливаться — подкласс не должен требовать больше, чем базовый класс. 2) Постусловия не могут ослабляться — подкласс должен гарантировать не меньше, чем базовый класс. 3) Инварианты должны сохраняться — внутренние ограничения базового класса должны выполняться в подклассе. Пример нарушения LSP: Rectangle/Square — если Square наследует Rectangle и переопределяет setWidth/setHeight так, что они устанавливают оба измерения одинаковыми, то тест r.setWidth(5); r.setHeight(4); assert(r.getArea() == 20) упадёт для Square (16 != 20). Правильный дизайн: Rectangle и Square наследуют общий интерфейс Shape. Связь с инкапсуляцией: LSP не связан напрямую с инкапсуляцией. LSP — про поведение (контракт базового класса), инкапсуляция — про сокрытие реализации. Однако инкапсуляция помогает соблюдать LSP: если внутренние детали скрыты, подкласс не может их сломать. LSP требует инкапсуляции инвариантов: подкласс не должен нарушать инварианты базового класса.","Кандидат правильно сформулировал суть LSP (взаимозаменяемость, поведение подклассов), но не понимает глубину. Не привел пример нарушения LSP (Rectangle/Square — классический кейс). Не объяснил контракт (предусловия, постусловия, инварианты). Связь с инкапсуляцией описал расплывчато (помогает управлять доступом) — не раскрыл, что инкапсуляция защищает инварианты, а LSP требует их сохранения. Зона роста: изучить SOLID (особенно LSP, OCP, ISP), примеры нарушений и правильного дизайна.","Средний (Архитектура/Системы)","N/A","неизвестно","Андрей (тимлид)","","","Объекты подклассов должны быть взаимозаменяемыми с объектами суперклассов без нарушения правильности работы программы."
"N/A","RDAD","C/C++ разработчик (middle)","С какими сетевыми протоколами у вас был опыт работы?","Архитектура/Системы","Кандидат назвал TCP, UDP, HTTP, HTTPS. Упомянул стрим контрол для передачи сообщений, гарантии доставки, протоколы сеансового уровня для поддержки связи, протоколы представления для подключения с веб-версией. С raw sockets не работал.","Основные сетевые протоколы: Транспортный уровень (OSI L4): TCP (надёжная доставка, контроль потока, порядок пакетов, handshake SYN/ACK), UDP (ненадёжная доставка, без установления соединения, низкая задержка, используется в DNS, VoIP, игры). Прикладной уровень (OSI L7): HTTP/HTTPS (веб, HTML, REST API, HTTPS = HTTP + TLS шифрование), FTP/SFTP (передача файлов), SMTP/IMAP/POP3 (почта), DNS (разрешение доменных имён), WebSocket (двунаправленная связь в реальном времени). Сетевой уровень (OSI L3): IP (маршрутизация пакетов IPv4, IPv6), ICMP (диагностика ping, traceroute). Канальный уровень (OSI L2): Ethernet, Wi-Fi (802.11) — передача фреймов в локальной сети. Raw sockets — прямой доступ к сетевому стеку (минуя TCP/UDP), позволяют создавать собственные протоколы, отправлять кастомные пакеты (например, для сканирования портов, ping), требуют root/admin прав.","Кандидат назвал базовые протоколы (TCP, UDP, HTTP/HTTPS), но ответ крайне поверхностный. Не упомянул DNS, WebSocket, FTP (частые в backend). Фраза стрим контрол для передачи сообщений непонятна (возможно, имел в виду TCP flow control). Не знаком с raw sockets (нормально для большинства backend-разработчиков, но для системного программирования полезно). Путаница в терминах: протоколы сеансового уровня (OSI L5 Session layer, но в TCP/IP модели его нет). Зона роста: изучить стек TCP/IP, модель OSI, различия TCP/UDP, как работают HTTP/DNS/WebSocket.","Средний (Архитектура/Системы)","N/A","неизвестно","Андрей (тимлид)","","","С TCP, UDP, HTTP, HTTPS. Стрим контрол для передачи сообщений, гарантии доставки. С сырыми сокетами не работал."
"N/A","RDAD","C/C++ разработчик (middle)","Что такое DNS? Зачем нужен, какие проблемы решает? На каком уровне модели OSI или TCP/IP находится DNS?","Архитектура/Системы","Кандидат сказал, что DNS нужен для разрешения доменных имен в IP-адреса, основная задача — преобразовывать доменные имена в IP и наоборот, как-то шифруется. На вопрос про уровень OSI сказал, что там 6 уровней, сходу не смог назвать уровень DNS.","DNS (Domain Name System): преобразует доменные имена (example.com) в IP-адреса (93.184.216.34) и обратно (reverse DNS). Зачем нужен: 1) Удобство — людям проще запоминать имена, чем цифры. 2) Гибкость — можно менять IP-адрес сервера без изменения доменного имени. 3) Балансировка нагрузки — одно имя → несколько IP (round-robin DNS). 4) CDN — разные IP для разных регионов (geo-DNS). Как работает: 1) Браузер проверяет кэш (локальный, ОС, роутер). 2) Если нет → запрос к DNS-резолверу (8.8.8.8 Google, 1.1.1.1 Cloudflare). 3) Резолвер рекурсивно опрашивает: Root DNS (13 серверов) → .com nameserver, TLD DNS (.com) → example.com nameserver, Authoritative DNS (example.com) → возвращает IP. 4) Ответ кэшируется (TTL). Уровень в модели OSI/TCP-IP: OSI Application Layer (L7), TCP/IP Application Layer (L4). Протокол: UDP (порт 53), иногда TCP (для больших ответов, зонных трансферов).","Кандидат правильно назвал основную функцию DNS (преобразование имён в IP), но не знает деталей. Не объяснил, как работает DNS (рекурсивный запрос, root/TLD/authoritative серверы). Не знает уровень OSI (сказал 6 уровней — в OSI их 7, в TCP/IP — 4). Фраза как-то шифруется некорректна (DNS не шифрует данные, хотя есть DNS over HTTPS/TLS). Не упомянул кэширование, TTL, reverse DNS. Зона роста: изучить устройство DNS (иерархия, рекурсивные/итеративные запросы, кэширование), модель OSI/TCP-IP.","Базовый (Python)","N/A","неизвестно","Андрей (тимлид)","","","DNS нужен для разрешения доменных имен в IP-адреса. Преобразовываем доменные имена в IP и наоборот. По модели OSI там 6 уровней было."
"N/A","RDAD","C/C++ разработчик (middle)","Что такое IP-адрес? Зачем он нужен? Какой тип данных использовать для хранения IP-адреса? Какой диапазон возможных значений IP-адреса?","Архитектура/Системы","Кандидат сказал, что IP-адрес нужен для передачи данных, это адрес устройства в сети, чтобы компьютер или сервер можно было найти. Это набор цифр. Для хранения предложил числовой тип, потом integer, потом string (учитывая точки). Про диапазон сказал, что есть две версии: IPv4 — 32-битный адрес, IPv6 — 128-битный, сделали для большего количества адресов.","IP-адрес — уникальный идентификатор устройства в сети (хоста). Формат: IPv4 — 32-битное число, записывается в dotted-decimal notation (4 октета): 192.168.1.1, диапазон 0.0.0.0 — 255.255.255.255 (2³² ≈ 4.3 млрд адресов). IPv6 — 128-битное число, записывается в hex notation (8 групп по 16 бит): 2001:0db8:85a3::8a2e:0370:7334, диапазон 2¹²⁸ ≈ 340 ундециллионов адресов. Как хранить в программе: IPv4 — uint32_t (беззнаковое 32-битное целое), пример inet_addr преобразует строку в network byte order (big-endian). Строка — удобно для вывода, но неэффективно для обработки. Структура — struct in_addr (POSIX). Почему не int: IPv4 32 бита → uint32_t (не int, т.к. знак не нужен), IPv6 128 бит → не поместится в стандартные типы, нужен массив или структура. Точки — это нотация для людей, в памяти хранится как число.","Кандидат знает базовые факты (IPv4 32-бит, IPv6 128-бит), но не понимает детали. Не смог сразу назвать тип данных (uint32_t для IPv4). Предложил хранить в строке (стримах) — неэффективно. Не упомянул диапазон IPv4 (0.0.0.0 — 255.255.255.255). Не знает про network byte order (big-endian vs host byte order). Зона роста: изучить представление IP-адресов в памяти, функции inet_addr/inet_ntop/inet_pton, byte order.","Базовый (Python)","N/A","неизвестно","Андрей (тимлид)","","","IP-адрес нужен для передачи данных, это адрес устройства в сети. Набор цифр. Хранить в integer, или в string учитывая точки. IPv4 32-битный, IPv6 128-битный."
